LTKBID,PubChem_CID,LabelCompoundName,DILIConcern,SeverityClass,AdjudicatedDILI,vDILIConcern,Greene_Annotation,Sakatis_Annotation,Xu_Annotation,Zhu_Annotation,SMILES,STD_SMILES
LT01185,5361919.0,ceftriaxone,LESS-DILI-CONCERN,4,Yes,VLESS-DILI-CONCERN,HH,non-hepatotixic,Positive,Postive,CN1C(=NC(=O)C(=O)N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N/OC)/C4=CSC(=N4)N)SC2)C(=O)O,
LT01842,5578.0,trimethoprim,LESS-DILI-CONCERN,4,Yes,VLESS-DILI-CONCERN,HH,non-hepatotixic,Positive,Postive,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,
LT00036,5353990.0,tetracycline,LESS-DILI-CONCERN,2,Yes,VLESS-DILI-CONCERN,HH,Hepatotoxic,Positive,Postive,CC1(C2CC3C(C(=O)/C(=C(\N)/O)/C(=O)C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)N(C)C)O,
LT00289,2955.0,dapsone,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,Hepatotoxic,Positive,Postive,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,
LT00166,1046.0,pyrazinamide,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,Hepatotoxic,Positive,Postive,C1=CN=C(C=N1)C(=O)N,
LT00098,3339.0,fenofibrate,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,Hepatotoxic,Positive,Postive,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,
LT00013,2907.0,cyclophosphamide,LESS-DILI-CONCERN,5,Yes,VLESS-DILI-CONCERN,HH,Hepatotoxic,Positive,Postive,C1CNP(=O)(OC1)N(CCCl)CCCl,
LT00068,2726.0,chlorpromazine,LESS-DILI-CONCERN,2,Yes,VLESS-DILI-CONCERN,HH,Hepatotoxic,Positive,Postive,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,
LT00335,31703.0,doxorubicin,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,Hepatotoxic,Positive,Postive,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,
LT01225,29029.0,clindamycin,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,,Positive,Postive,CCC[C@@H]1C[C@H](N(C1)C)C(=O)NC([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)C(C)Cl,
