CHEMBLID	PubChem CID	Compound	StdInChIKey	CANONICAL_SMILES
CHEMBL273386	1493	2,4-dinitrophenol	UFBJCMHMOXMLKC-UHFFFAOYSA-N	Oc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
CHEMBL351487	11831	2-nitrofluorene	XFOHWECQTFIEIX-UHFFFAOYSA-N	[O-][N+](=O)c1ccc2c(Cc3ccccc23)c1
CHEMBL1566	444254	acarbose	XUFXOAAUWZOOIT-SXARVLRPSA-N	C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]4C=C(CO)[C@@H](O)[C@H](O)[C@H]4O
CHEMBL16081	178	acetamide	DLFVBJFMPXGRIB-UHFFFAOYSA-N	CC(=O)N
CHEMBL311469	5897	acetamidofluorene	CZIHNRWJTSTCEX-UHFFFAOYSA-N	CC(=O)Nc1ccc2c(Cc3ccccc23)c1
CHEMBL20	1986	acetazolamide	BZKPWHYZMXOIDC-UHFFFAOYSA-N	CC(=O)Nc1nnc(s1)S(=O)(=O)N
CHEMBL1697694	186907	aflatoxin b1	OQIQSTLJSLGHID-WNWIJWBNSA-N	COc1cc2O[C@H]3OC=C[C@H]3c2c4OC(=O)C5=C(CCC5=O)c14
CHEMBL2105617	70691408	ajmaline	CJDRUOGAGYHKKD-FUIWMBJSSA-N	CCC1C2CC3C4N(C)c5ccccc5C46CC(C2[C@H]6O)N3C1O
CHEMBL54349	54897	alpidem	JRTIDHTUMYMPRU-UHFFFAOYSA-N	CCCN(CCC)C(=O)Cc1c(nc2ccc(Cl)cn12)c3ccc(Cl)cc3
CHEMBL267345	5280965	amphotericin b	APKFDSVGJQXUKY-INPOYWNPSA-N	C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@H]([C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@H]1C)O2)C(=O)O
CHEMBL1089221	2313	bendazac	BYFMCKSPFYVMOU-UHFFFAOYSA-N	OC(=O)COc1nn(Cc2ccccc2)c3ccccc13
CHEMBL232201	6237	benziodarone	CZCHIEJNWPNBDE-UHFFFAOYSA-N	CCc1oc2ccccc2c1C(=O)c3cc(I)c(O)c(I)c3
CHEMBL1697693	7851	bromoethylamine	IZQAUUVBKYXMET-UHFFFAOYSA-N	NCCBr
CHEMBL1697856	14130	bucetin	LIAWQASKBFCRNR-UHFFFAOYSA-N	CCOc1ccc(NC(=O)CC(C)O)cc1
CHEMBL49	2477	buspirone	QWCRAEMEVRGPNT-UHFFFAOYSA-N	O=C1CC2(CCCC2)CC(=O)N1CCCCN3CCN(CC3)c4ncccn4
CHEMBL1609891	21157	buthionine sulfoximine	WDFRNLYXRQXXFS-CVSPRKDYSA-N	CCCC[S+](=N)([O-])CC[C@H](N)C(=O)O
CHEMBL502074	6932	butylated hydroxyanisole	IMOYOUMVYICGCA-UHFFFAOYSA-N	COc1ccc(O)cc1C(C)(C)C
CHEMBL113	2519	caffeine	RYYVLZVUVIJVGH-UHFFFAOYSA-N	CN1C(=O)N(C)c2ncn(C)c2C1=O
CHEMBL1560	44093	captopril	FAKRSMQSSFJEIM-RQJHMYQMSA-N	C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O
CHEMBL691	5991	ethinylestradiol	BFPYWIDHMRZLRN-SLHNCBLASA-N	C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C
