Source Name	Characteristics[Strain]	Factor Value[Compound]	Comment [ChEMBL ID]	Characteristics[Compound Class]	Characteristics[Control]	Characteristics[Sample Match]	Factor Value[Dose]	Characteristics[DoseUnit]	Characteristics[Vehicle]	array_file
BPI-T1-AFB 10-24h-R-1-1	HepaRG	aflatoxin B1	CHEMBL1697694	Genotoxic	FALSE	BPI-T1-DMSO-24h	2.5	micromolar	DMSO	carcinogenomics_BPI-T1-AFB_10-24h-R-1-1.CEL
BPI-T1-AFB 10-72h-R-1-1	HepaRG	aflatoxin B1	CHEMBL1697694	Genotoxic	FALSE	BPI-T1-DMSO-72h	2.5	micromolar	DMSO	carcinogenomics_BPI-T1-AFB_10-72h-R-1-1.CEL
BPI-T1-CND 10-24h-R-1-1	HepaRG	clonidine	CHEMBL134	Non-carcinogen	FALSE	BPI-T1-DMSO-24h	0.1	micromolar	DMSO	carcinogenomics_BPI-T1-CND_10-24h-R-1-1.CEL
BPI-T1-CND 10-72h-R-1-1	HepaRG	clonidine	CHEMBL134	Non-carcinogen	FALSE	BPI-T1-DMSO-72h	0.1	micromolar	DMSO	carcinogenomics_BPI-T1-CND_10-72h-R-1-1.CEL
BPI-T1-CPM 10-24h-R-1-1	HepaRG	cyclophosphamide hydrate	CHEMBL1200796	Genotoxic	FALSE	BPI-T1-DMSO-24h	700	micromolar	DMSO	carcinogenomics_BPI-T1-CPM_10-24h-R-1-1.CEL
BPI-T1-CPM 10-72h-R-1-1	HepaRG	cyclophosphamide hydrate	CHEMBL1200796	Genotoxic	FALSE	BPI-T1-DMSO-72h	700	micromolar	DMSO	carcinogenomics_BPI-T1-CPM_10-72h-R-1-1.CEL
BPI-T1-DMSO-24h-R-2-1	HepaRG	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_BPI-T1-DMSO-24h-R-2-1.CEL
BPI-T1-DMSO-24h-R-2-2	HepaRG	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_BPI-T1-DMSO-24h-R-2-2.CEL
BPI-T1-DMSO-72h-R-2-1	HepaRG	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_BPI-T1-DMSO-72h-R-2-1.CEL
BPI-T1-DMSO-72h-R-2-2	HepaRG	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_BPI-T1-DMSO-72h-R-2-2.CEL
BPI-T1-PRN 10-24h-R-1-1	HepaRG	pirinixic acid	CHEMBL295416	Non-genotoxic	FALSE	BPI-T1-DMSO-24h	210	micromolar	DMSO	carcinogenomics_BPI-T1-PRN_10-24h-R-1-1.CEL
BPI-T1-PRN 10-72h-R-1-1	HepaRG	pirinixic acid	CHEMBL295416	Non-genotoxic	FALSE	BPI-T1-DMSO-72h	210	micromolar	DMSO	carcinogenomics_BPI-T1-PRN_10-72h-R-1-1.CEL
BPI-T1-TBT 10-24h-R-1-1	HepaRG	tolbutamide	CHEMBL782	Non-carcinogen	FALSE	BPI-T1-DMSO-24h	2000	micromolar	DMSO	carcinogenomics_BPI-T1-TBT_10-24h-R-1-1.CEL
BPI-T1-TBT 10-72h-R-1-1	HepaRG	tolbutamide	CHEMBL782	Non-carcinogen	FALSE	BPI-T1-DMSO-72h	2000	micromolar	DMSO	carcinogenomics_BPI-T1-TBT_10-72h-R-1-1.CEL
BPI-T1-TPA 10-24h-R-1-1	HepaRG	phorbol 13-acetate 12-myristate	CHEMBL279115	Non-genotoxic	FALSE	BPI-T1-DMSO-24h	35	micromolar	DMSO	carcinogenomics_BPI-T1-TPA_10-24h-R-1-1.CEL
BPI-T1-TPA 10-72h-R-1-1	HepaRG	phorbol 13-acetate 12-myristate	CHEMBL279115	Non-genotoxic	FALSE	BPI-T1-DMSO-72h	35	micromolar	DMSO	carcinogenomics_BPI-T1-TPA_10-72h-R-1-1.CEL
BPI-T2-2NF5-24h-R-1-1	HepaRG	2-nitrofluorene	CHEMBL351487	Genotoxic	FALSE	BPI-T2-DMSO-24h	9	micromolar	DMSO	carcinogenomics_BPI-T2-2NF10-24h-R-1-1.CEL
BPI-T2-2NF5-72h-R-1-1	HepaRG	2-nitrofluorene	CHEMBL351487	Genotoxic	FALSE	BPI-T2-DMSO-72h	9	micromolar	DMSO	carcinogenomics_BPI-T2-2NF10-72h-R-1-1.CEL
BPI-T2-2NF10-24h-R-1-1	HepaRG	2-nitrofluorene	CHEMBL351487	Genotoxic	FALSE	BPI-T2-DMSO-24h	18	micromolar	DMSO	carcinogenomics_BPI-T2-2NF5-24h-R-1-1.CEL
BPI-T2-2NF10-72h-R-1-1	HepaRG	2-nitrofluorene	CHEMBL351487	Genotoxic	FALSE	BPI-T2-DMSO-72h	18	micromolar	DMSO	carcinogenomics_BPI-T2-2NF5-72h-R-1-1.CEL
BPI-T2-AFB 10-24h-R-1-1	HepaRG	aflatoxin B1	CHEMBL1697694	Genotoxic	FALSE	BPI-T2-DMSO-24h	2.5	micromolar	DMSO	carcinogenomics_BPI-T2-AFB_10-24h-R-1-1.CEL
BPI-T2-AFB 10-72h-R-1-1	HepaRG	aflatoxin B1	CHEMBL1697694	Genotoxic	FALSE	BPI-T2-DMSO-72h	2.5	micromolar	DMSO	carcinogenomics_BPI-T2-AFB_10-72h-R-1-1.CEL
BPI-T2-BaP5-24h-R-1-1	HepaRG	benzo[a]pyrene	CHEMBL31184	Genotoxic	FALSE	BPI-T2-DMSO-24h	2.5	micromolar	DMSO	carcinogenomics_BPI-T2-BaP10-24h-R-1-1.CEL
BPI-T2-BaP5-72h-R-1-1	HepaRG	benzo[a]pyrene	CHEMBL31184	Genotoxic	FALSE	BPI-T2-DMSO-72h	2.5	micromolar	DMSO	carcinogenomics_BPI-T2-BaP10-72h-R-1-1.CEL
BPI-T2-BaP10-24h-R-1-1	HepaRG	benzo[a]pyrene	CHEMBL31184	Genotoxic	FALSE	BPI-T2-DMSO-24h	5	micromolar	DMSO	carcinogenomics_BPI-T2-BaP5-24h-R-1-1.CEL
BPI-T2-BaP10-72h-R-1-1	HepaRG	benzo[a]pyrene	CHEMBL31184	Genotoxic	FALSE	BPI-T2-DMSO-72h	5	micromolar	DMSO	carcinogenomics_BPI-T2-BaP5-72h-R-1-1.CEL
BPI-T2-CND 10-24h-R-1-1	HepaRG	clonidine	CHEMBL134	Non-carcinogen	FALSE	BPI-T2-DMSO-24h	0.1	micromolar	DMSO	carcinogenomics_BPI-T2-CND_10-24h-R-1-1.CEL
BPI-T2-CND 10-72h-R-1-1	HepaRG	clonidine	CHEMBL134	Non-carcinogen	FALSE	BPI-T2-DMSO-72h	0.1	micromolar	DMSO	carcinogenomics_BPI-T2-CND_10-72h-R-1-1.CEL
BPI-T2-CPM 10-24h-R-1-1	HepaRG	cyclophosphamide hydrate	CHEMBL1200796	Genotoxic	FALSE	BPI-T2-DMSO-24h	700	micromolar	DMSO	carcinogenomics_BPI-T2-CPM_10-24h-R-1-1.CEL
BPI-T2-CPM 10-72h-R-1-1	HepaRG	cyclophosphamide hydrate	CHEMBL1200796	Genotoxic	FALSE	BPI-T2-DMSO-72h	700	micromolar	DMSO	carcinogenomics_BPI-T2-CPM_10-72h-R-1-1.CEL
BPI-T2-DIC5-24h-R-1-1	HepaRG	diclofenac	CHEMBL139	Non-carcinogen	FALSE	BPI-T2-Media-24h	25	micromolar	Medium	carcinogenomics_BPI-T2-DIC10-24h-R-1-1.CEL
BPI-T2-DIC5-72h-R-1-1	HepaRG	diclofenac	CHEMBL139	Non-carcinogen	FALSE	BPI-T2-Media-48h	25	micromolar	Medium	carcinogenomics_BPI-T2-DIC10-72h-R-1-1.CEL
BPI-T2-DIC10-24h-R-1-1	HepaRG	diclofenac	CHEMBL139	Non-carcinogen	FALSE	BPI-T2-Media-24h	50	micromolar	Medium	carcinogenomics_BPI-T2-DIC5-24h-R-1-1.CEL
BPI-T2-DIC10-72h-R-1-1	HepaRG	diclofenac	CHEMBL139	Non-carcinogen	FALSE	BPI-T2-Media-48h	50	micromolar	Medium	carcinogenomics_BPI-T2-DIC5-72h-R-1-1.CEL
BPI-T2-DMN5-24h-R-1-1	HepaRG	N-nitrosodimethylamine	CHEMBL117311	Genotoxic	FALSE	BPI-T2-DMSO-24h	100	micromolar	DMSO	carcinogenomics_BPI-T2-DMN10-24h-R-1-1.CEL
BPI-T2-DMN5-72h-R-1-1	HepaRG	N-nitrosodimethylamine	CHEMBL117311	Genotoxic	FALSE	BPI-T2-DMSO-72h	100	micromolar	DMSO	carcinogenomics_BPI-T2-DMN10-72h-R-1-1.CEL
BPI-T2-DMN10-24h-R-1-1	HepaRG	N-nitrosodimethylamine	CHEMBL117311	Genotoxic	FALSE	BPI-T2-DMSO-24h	200	micromolar	DMSO	carcinogenomics_BPI-T2-DMN5-24h-R-1-1.CEL
BPI-T2-DMN10-72h-R-1-1	HepaRG	N-nitrosodimethylamine	CHEMBL117311	Genotoxic	FALSE	BPI-T2-DMSO-72h	200	micromolar	DMSO	carcinogenomics_BPI-T2-DMN5-72h-R-1-1.CEL
BPI-T2-DMO5-24h-R-1-1	HepaRG	D-mannitol	CHEMBL689	Non-carcinogen	FALSE	BPI-T2-Media-24h	187.5	micromolar	Medium	carcinogenomics_BPI-T2-DMO10-24h-R-1-1.CEL
BPI-T2-DMO5-72h-R-1-1	HepaRG	D-mannitol	CHEMBL689	Non-carcinogen	FALSE	BPI-T2-Media-48h	187.5	micromolar	Medium	carcinogenomics_BPI-T2-DMO10-72h-R-1-1.CEL
BPI-T2-DMO10-24h-R-1-1	HepaRG	D-mannitol	CHEMBL689	Non-carcinogen	FALSE	BPI-T2-Media-24h	375	micromolar	Medium	carcinogenomics_BPI-T2-DMO5-24h-R-1-1.CEL
BPI-T2-DMO10-72h-R-1-1	HepaRG	D-mannitol	CHEMBL689	Non-carcinogen	FALSE	BPI-T2-Media-48h	375	micromolar	Medium	carcinogenomics_BPI-T2-DMO5-72h-R-1-1.CEL
BPI-T2-DMSO-24h-R-1-1	HepaRG	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_BPI-T2-DMSO-24h-R-1-1.CEL
BPI-T2-DMSO-24h-R-2-1	HepaRG	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_BPI-T2-DMSO-24h-R-2-1.CEL
BPI-T2-DMSO-24h-R-2-2	HepaRG	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_BPI-T2-DMSO-24h-R-2-2.CEL
BPI-T2-DMSO-72h-R-1-1	HepaRG	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_BPI-T2-DMSO-72h-R-1-1.CEL
BPI-T2-DMSO-72h-R-2-1	HepaRG	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_BPI-T2-DMSO-72h-R-2-1.CEL
BPI-T2-DMSO-72h-R-2-2	HepaRG	dimethyl sulfoxide	CHEMBL504	DMSO	TRUE		0.5	percent	DMSO	carcinogenomics_BPI-T2-DMSO-72h-R-2-2.CEL
BPI-T2-Media-24h-R-1-1	HepaRG	untreated		CTRL	TRUE				Medium	carcinogenomics_BPI-T2-Media-24h-R-1-1.CEL
BPI-T2-Media-72h-R-1-1	HepaRG	untreated		CTRL	TRUE				Medium	carcinogenomics_BPI-T2-Media-72h-R-1-1.CEL
BPI-T2-MPH5-24h-R-1-1	HepaRG	methapyrilene hydrochloride	CHEMBL1255739	Non-genotoxic	FALSE	BPI-T2-DMSO-24h	37.5	micromolar	DMSO	carcinogenomics_BPI-T2-MPH10-24h-R-1-1.CEL
BPI-T2-MPH5-72h-R-1-1	HepaRG	methapyrilene hydrochloride	CHEMBL1255739	Non-genotoxic	FALSE	BPI-T2-DMSO-72h	37.5	micromolar	DMSO	carcinogenomics_BPI-T2-MPH10-72h-R-1-1.CEL
BPI-T2-MPH10-24h-R-1-1	HepaRG	methapyrilene hydrochloride	CHEMBL1255739	Non-genotoxic	FALSE	BPI-T2-DMSO-24h	75	micromolar	DMSO	carcinogenomics_BPI-T2-MPH5-24h-R-1-1.CEL
BPI-T2-MPH10-72h-R-1-1	HepaRG	methapyrilene hydrochloride	CHEMBL1255739	Non-genotoxic	FALSE	BPI-T2-DMSO-72h	75	micromolar	DMSO	carcinogenomics_BPI-T2-MPH5-72h-R-1-1.CEL
BPI-T2-NFE5-24h-R-1-1	HepaRG	nifedipine	CHEMBL193	Non-carcinogen	FALSE	BPI-T2-DMSO-24h	20	micromolar	DMSO	carcinogenomics_BPI-T2-NFE10-24h-R-1-1.CEL
BPI-T2-NFE5-72h-R-1-1	HepaRG	nifedipine	CHEMBL193	Non-carcinogen	FALSE	BPI-T2-DMSO-72h	20	micromolar	DMSO	carcinogenomics_BPI-T2-NFE10-72h-R-1-1.CEL
BPI-T2-NFE10-24h-R-1-1	HepaRG	nifedipine	CHEMBL193	Non-carcinogen	FALSE	BPI-T2-DMSO-24h	40	micromolar	DMSO	carcinogenomics_BPI-T2-NFE5-24h-R-1-1.CEL
BPI-T2-NFE10-72h-R-1-1	HepaRG	nifedipine	CHEMBL193	Non-carcinogen	FALSE	BPI-T2-DMSO-72h	40	micromolar	DMSO	carcinogenomics_BPI-T2-NFE5-72h-R-1-1.CEL
BPI-T2-PPX5-24h-R-1-1	HepaRG	piperonyl butoxide	CHEMBL1201131	Non-genotoxic	FALSE	BPI-T2-DMSO-24h	1.6	micromolar	DMSO	carcinogenomics_BPI-T2-PPX10-24h-R-1-1.CEL
BPI-T2-PPX5-72h-R-1-1	HepaRG	piperonyl butoxide	CHEMBL1201131	Non-genotoxic	FALSE	BPI-T2-DMSO-72h	1.6	micromolar	DMSO	carcinogenomics_BPI-T2-PPX10-72h-R-1-1.CEL
