Source Name	Characteristics [CellLine]	Factor Value [COMPOUND]	ChEMBL_ID	Genotoxicity	Carcinogenicity	Characteristics_Control	Extract Name	Factor Value [DOSE]	Unit [ConcentrationUnit]	Time	TimeUnit	Replicate	Characteristics_Vehicle	array_file	control_file	final_array_file
2NF_24h_I	HepG2	2-nitrofluorene	CHEMBL351487	GTX	C	FALSE				24	h	1	DMSO	2NF-24h-I.CEL	DMSO1-24h-I.CEL;DMSO2-24h-I.CEL	study05_CHEMBL351487__24h_1
2NF_24h_II	HepG2	2-nitrofluorene	CHEMBL351487	GTX	C	FALSE				24	h	2	DMSO	2NF-24h-II.CEL	DMSO1-24h-II.CEL;DMSO2-24h-II.CEL	study05_CHEMBL351487__24h_2
2NF_24h_III	HepG2	2-nitrofluorene	CHEMBL351487	GTX	C	FALSE				24	h	3	DMSO	2NF-24h-III.CEL	DMSO1-24h-III.CEL;DMSO2-24h-III.CEL	study05_CHEMBL351487__24h_3
2NF_48h_I	HepG2	2-nitrofluorene	CHEMBL351487	GTX	C	FALSE				48	h	1	DMSO	2NF-48h-I.CEL	DMSO1-48h-I.CEL;DMSO2-48h-I.CEL	study05_CHEMBL351487__48h_1
2NF_48h_II	HepG2	2-nitrofluorene	CHEMBL351487	GTX	C	FALSE				48	h	2	DMSO	2NF-48h-II.CEL	DMSO1-48h-II.CEL;DMSO2-48h-II.CEL	study05_CHEMBL351487__48h_2
2NF_48h_III	HepG2	2-nitrofluorene	CHEMBL351487	GTX	C	FALSE				48	h	3	DMSO	2NF-48h-III.CEL	DMSO1-48h-III.CEL;DMSO2-48h-III.CEL	study05_CHEMBL351487__48h_3
CLO_24h_I	HepG2	clonidine	CHEMBL134	NGTX	NC	FALSE				24	h	1	DMSO	CLO-24h-I.CEL	DMSO1-24h-I.CEL;DMSO2-24h-I.CEL	study05_CHEMBL134__24h_1
CLO_24h_II	HepG2	clonidine	CHEMBL134	NGTX	NC	FALSE				24	h	2	DMSO	CLO-24h-II.CEL	DMSO1-24h-II.CEL;DMSO2-24h-II.CEL	study05_CHEMBL134__24h_2
CLO_24h_III	HepG2	clonidine	CHEMBL134	NGTX	NC	FALSE				24	h	3	DMSO	CLO-24h-III.CEL	DMSO1-24h-III.CEL;DMSO2-24h-III.CEL	study05_CHEMBL134__24h_3
CLO_48h_I	HepG2	clonidine	CHEMBL134	NGTX	NC	FALSE				48	h	1	DMSO	CLO-48h-I.CEL	DMSO1-48h-I.CEL;DMSO2-48h-I.CEL	study05_CHEMBL134__48h_1
CLO_48h_II	HepG2	clonidine	CHEMBL134	NGTX	NC	FALSE				48	h	2	DMSO	CLO-48h-II.CEL	DMSO1-48h-II.CEL;DMSO2-48h-II.CEL	study05_CHEMBL134__48h_2
CLO_48h_III	HepG2	clonidine	CHEMBL134	NGTX	NC	FALSE				48	h	3	DMSO	CLO-48h-III.CEL	DMSO1-48h-III.CEL;DMSO2-48h-III.CEL	study05_CHEMBL134__48h_3
DMSO1_24h_I	HepG2					TRUE				24	h	1	DMSO	DMSO1-24h-I.CEL		
DMSO1_24h_II	HepG2					TRUE				24	h	2	DMSO	DMSO1-24h-II.CEL		
DMSO1_24h_III	HepG2					TRUE				24	h	3	DMSO	DMSO1-24h-III.CEL		
DMSO1_48h_I	HepG2					TRUE				48	h	1	DMSO	DMSO1-48h-I.CEL		
DMSO1_48h_II	HepG2					TRUE				48	h	2	DMSO	DMSO1-48h-II.CEL		
DMSO1_48h_III	HepG2					TRUE				48	h	3	DMSO	DMSO1-48h-III.CEL		
DMSO2_24h_I	HepG2					TRUE				24	h	1	DMSO	DMSO2-24h-I.CEL		
DMSO2_24h_II	HepG2					TRUE				24	h	2	DMSO	DMSO2-24h-II.CEL		
DMSO2_24h_III	HepG2					TRUE				24	h	3	DMSO	DMSO2-24h-III.CEL		
DMSO2_48h_I	HepG2					TRUE				48	h	1	DMSO	DMSO2-48h-I.CEL		
DMSO2_48h_II	HepG2					TRUE				48	h	2	DMSO	DMSO2-48h-II.CEL		
DMSO2_48h_III	HepG2					TRUE				48	h	3	DMSO	DMSO2-48h-III.CEL		
MPH_24h_I	HepG2	methapyrilene hydrochloride	CHEMBL1255739	NGTX	C	FALSE				24	h	1	DMSO	MPH-24h-I.CEL	DMSO1-24h-I.CEL;DMSO2-24h-I.CEL	study05_CHEMBL1255739__24h_1
MPH_24h_II	HepG2	methapyrilene hydrochloride	CHEMBL1255739	NGTX	C	FALSE				24	h	2	DMSO	MPH-24h-II.CEL	DMSO1-24h-II.CEL;DMSO2-24h-II.CEL	study05_CHEMBL1255739__24h_2
MPH_24h_III	HepG2	methapyrilene hydrochloride	CHEMBL1255739	NGTX	C	FALSE				24	h	3	DMSO	MPH-24h-III.CEL	DMSO1-24h-III.CEL;DMSO2-24h-III.CEL	study05_CHEMBL1255739__24h_3
MPH_48h_I	HepG2	methapyrilene hydrochloride	CHEMBL1255739	NGTX	C	FALSE				48	h	1	DMSO	MPH-48h-I.CEL	DMSO1-48h-I.CEL;DMSO2-48h-I.CEL	study05_CHEMBL1255739__48h_1
MPH_48h_II	HepG2	methapyrilene hydrochloride	CHEMBL1255739	NGTX	C	FALSE				48	h	2	DMSO	MPH-48h-II.CEL	DMSO1-48h-II.CEL;DMSO2-48h-II.CEL	study05_CHEMBL1255739__48h_2
MPH_48h_III	HepG2	methapyrilene hydrochloride	CHEMBL1255739	NGTX	C	FALSE				48	h	3	DMSO	MPH-48h-III.CEL	DMSO1-48h-III.CEL;DMSO2-48h-III.CEL	study05_CHEMBL1255739__48h_3
NFE_24h_I	HepG2	nifedipine	CHEMBL193	NGTX	NC	FALSE				24	h	1	DMSO	NFE-24h-I.CEL	DMSO1-24h-I.CEL;DMSO2-24h-I.CEL	study05_CHEMBL193__24h_1
NFE_24h_II	HepG2	nifedipine	CHEMBL193	NGTX	NC	FALSE				24	h	2	DMSO	NFE-24h-II.CEL	DMSO1-24h-II.CEL;DMSO2-24h-II.CEL	study05_CHEMBL193__24h_2
NFE_24h_III	HepG2	nifedipine	CHEMBL193	NGTX	NC	FALSE				24	h	3	DMSO	NFE-24h-III.CEL	DMSO1-24h-III.CEL;DMSO2-24h-III.CEL	study05_CHEMBL193__24h_3
NFE_48h_I	HepG2	nifedipine	CHEMBL193	NGTX	NC	FALSE				48	h	1	DMSO	NFE-48h-I.CEL	DMSO1-48h-I.CEL;DMSO2-48h-I.CEL	study05_CHEMBL193__48h_1
