Source Name	Characteristics[SubjectID]	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[Sex]	Factor Value[Age]	Characteristics[AgeUnit]	Term Source REF	Term Accession Number	Characteristics[Organ]	Term Source REF	Term Accession Number	Characteristics[Tissue]	Term Source REF	Term Accession Number	Characteristics[Cell]	Term Source REF	Term Accession Number	Characteristics[AssayType]	Characteristics[Bio Rep]	Characteristics[Tech Rep]	Factor Value[Compound]	Term Source REF	Term Accession Number	Characteristics[inChi]	Characteristics[Eniantiomer]	Characteristics[CompoundClass]	Characteristics[Control]	Characteristics[SampleMatch]	Factor Value[Dose]	Characteristics[DoseUnit]	Term Source REF	Term Accession Number	Factor Value[DoseDuration]	Characteristics[DoseDurationUnit]	Term Source REF	Term Accession Number	Factor Value[DoseFrequency]	Characteristics[Vehicule]	Characteristics[Route]	Term Source REF	Term Accession Number	Factor Value[SampleTimePoint]	Characteristics[SampleTimePointUnit]	Term Source REF	Term Accession Number	Characteristics[TreatmentGroup]	Protocol REF	Sample Name
12hour_AFB1_1		C57BL/6	EFO	EFO_0004472	Mus musculus	NCBITaxon	xon_10090	Male					liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	primary hepatocytes			in vitro	1		aflatoxin B1	CHEBI	2504	"1S/C17H12O6/c1-20-10-6-11-14(8-4-5-21-17(8)22-11)15-13(10)7-2-3-9(18)12(7)16(19)23-15/h4-6,8,17H,2-3H2,1H3/t8-,17+/m0/s1"			FALSE		15	micromolar	UO	64										12	hour	UO	32		sample collection	12hour_AFB1_1
12hour_AFB1_2		C57BL/6	EFO	EFO_0004472	Mus musculus	NCBITaxon	xon_10090	Male					liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	primary hepatocytes			in vitro	2		aflatoxin B1	CHEBI	2504	"1S/C17H12O6/c1-20-10-6-11-14(8-4-5-21-17(8)22-11)15-13(10)7-2-3-9(18)12(7)16(19)23-15/h4-6,8,17H,2-3H2,1H3/t8-,17+/m0/s1"			FALSE		15	micromolar	UO	64										12	hour	UO	32		sample collection	12hour_AFB1_2
12hour_AFB1_3		C57BL/6	EFO	EFO_0004472	Mus musculus	NCBITaxon	xon_10090	Male					liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	primary hepatocytes			in vitro	3		aflatoxin B1	CHEBI	2504	"1S/C17H12O6/c1-20-10-6-11-14(8-4-5-21-17(8)22-11)15-13(10)7-2-3-9(18)12(7)16(19)23-15/h4-6,8,17H,2-3H2,1H3/t8-,17+/m0/s1"			FALSE		15	micromolar	UO	64										12	hour	UO	32		sample collection	12hour_AFB1_3
12hour_BaP_1		C57BL/6	EFO	EFO_0004472	Mus musculus	NCBITaxon	xon_10090	Male					liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	primary hepatocytes			in vitro	1		benzo[a]pyrene	CHEBI	29865	1S/C20H12/c1-2-7-17-15(4-1)12-16-9-8-13-5-3-6-14-10-11-18(17)20(16)19(13)14/h1-12H			FALSE		30	micromolar	UO	64										12	hour	UO	32		sample collection	12hour_BaP_1
12hour_BaP_2		C57BL/6	EFO	EFO_0004472	Mus musculus	NCBITaxon	xon_10090	Male					liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	primary hepatocytes			in vitro	2		benzo[a]pyrene	CHEBI	29865	1S/C20H12/c1-2-7-17-15(4-1)12-16-9-8-13-5-3-6-14-10-11-18(17)20(16)19(13)14/h1-12H			FALSE		30	micromolar	UO	64										12	hour	UO	32		sample collection	12hour_BaP_2
12hour_BaP_3		C57BL/6	EFO	EFO_0004472	Mus musculus	NCBITaxon	xon_10090	Male					liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	primary hepatocytes			in vitro	3		benzo[a]pyrene	CHEBI	29865	1S/C20H12/c1-2-7-17-15(4-1)12-16-9-8-13-5-3-6-14-10-11-18(17)20(16)19(13)14/h1-12H			FALSE		30	micromolar	UO	64										12	hour	UO	32		sample collection	12hour_BaP_3
12hour_CsA_1		C57BL/6	EFO	EFO_0004472	Mus musculus	NCBITaxon	xon_10090	Male					liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	primary hepatocytes			in vitro	1		cyclosporin A	CHEBI	4031	"1S/C62H111N11O12/c1-25-27-28-40(15)52(75)51-56(79)65-43(26-2)58(81)67(18)33-48(74)68(19)44(29-34(3)4)55(78)66-49(38(11)12)61(84)69(20)45(30-35(5)6)54(77)63-41(16)53(76)64-42(17)57(80)70(21)46(31-36(7)8)59(82)71(22)47(32-37(9)10)60(83)72(23)50(39(13)14)62(85)73(51)24/h25,27,34-47,49-52,75H,26,28-33H2,1-24H3,(H,63,77)(H,64,76)(H,65,79)(H,66,78)/b27-25+/t40-,41+,42+,43-,44+,45-,46+,47+,49+,50-,51+,52-/m1/s1"			FALSE		1	micromolar	UO	64										12	hour	UO	32		sample collection	12hour_CsA_1
12hour_CsA_2		C57BL/6	EFO	EFO_0004472	Mus musculus	NCBITaxon	xon_10090	Male					liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	primary hepatocytes			in vitro	2		cyclosporin A	CHEBI	4031	"1S/C62H111N11O12/c1-25-27-28-40(15)52(75)51-56(79)65-43(26-2)58(81)67(18)33-48(74)68(19)44(29-34(3)4)55(78)66-49(38(11)12)61(84)69(20)45(30-35(5)6)54(77)63-41(16)53(76)64-42(17)57(80)70(21)46(31-36(7)8)59(82)71(22)47(32-37(9)10)60(83)72(23)50(39(13)14)62(85)73(51)24/h25,27,34-47,49-52,75H,26,28-33H2,1-24H3,(H,63,77)(H,64,76)(H,65,79)(H,66,78)/b27-25+/t40-,41+,42+,43-,44+,45-,46+,47+,49+,50-,51+,52-/m1/s1"			FALSE		1	micromolar	UO	64										12	hour	UO	32		sample collection	12hour_CsA_2
12hour_CsA_3		C57BL/6	EFO	EFO_0004472	Mus musculus	NCBITaxon	xon_10090	Male					liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	primary hepatocytes			in vitro	3		cyclosporin A	CHEBI	4031	"1S/C62H111N11O12/c1-25-27-28-40(15)52(75)51-56(79)65-43(26-2)58(81)67(18)33-48(74)68(19)44(29-34(3)4)55(78)66-49(38(11)12)61(84)69(20)45(30-35(5)6)54(77)63-41(16)53(76)64-42(17)57(80)70(21)46(31-36(7)8)59(82)71(22)47(32-37(9)10)60(83)72(23)50(39(13)14)62(85)73(51)24/h25,27,34-47,49-52,75H,26,28-33H2,1-24H3,(H,63,77)(H,64,76)(H,65,79)(H,66,78)/b27-25+/t40-,41+,42+,43-,44+,45-,46+,47+,49+,50-,51+,52-/m1/s1"			FALSE		1	micromolar	UO	64										12	hour	UO	32		sample collection	12hour_CsA_3
12hour_DMSO-1_1		C57BL/6	EFO	EFO_0004472	Mus musculus	NCBITaxon	xon_10090	Male					liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	primary hepatocytes			in vitro	1		dimethyl sulfoxide	CHEBI	28262	1S/C2H6OS/c1-4(2)3/h1-2H3			FALSE		0.5	percent	UO	187										12	hour	UO	32		sample collection	12hour_DMSO-1_1
12hour_DMSO-1_2		C57BL/6	EFO	EFO_0004472	Mus musculus	NCBITaxon	xon_10090	Male					liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	primary hepatocytes			in vitro	2		dimethyl sulfoxide	CHEBI	28262	1S/C2H6OS/c1-4(2)3/h1-2H3			FALSE		0.5	percent	UO	187										12	hour	UO	32		sample collection	12hour_DMSO-1_2
12hour_DMSO-1_3		C57BL/6	EFO	EFO_0004472	Mus musculus	NCBITaxon	xon_10090	Male					liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	primary hepatocytes			in vitro	3		dimethyl sulfoxide	CHEBI	28262	1S/C2H6OS/c1-4(2)3/h1-2H3			FALSE		0.5	percent	UO	187										12	hour	UO	32		sample collection	12hour_DMSO-1_3
