Source Name	Characteristics[SubjectID]	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[Sex]	Factor Value[Age]	Characteristics[AgeUnit]	Term Source REF	Term Accession Number	Characteristics[Organ]	Term Source REF	Term Accession Number	Characteristics[Tissue]	Term Source REF	Term Accession Number	Characteristics[Cell]	Term Source REF	Term Accession Number	Characteristics[AssayType]	Characteristics[Bio Rep]	Characteristics[Tech Rep]	Factor Value[Compound]	Term Source REF	Term Accession Number	Characteristics[inChi]	Characteristics[Eniantiomer]	Characteristics[CompoundClass]	Characteristics[Control]	Characteristics[SampleMatch]	Factor Value[Dose]	Characteristics[DoseUnit]	Term Source REF	Term Accession Number	Factor Value[DoseDuration]	Characteristics[DoseDurationUnit]	Term Source REF	Term Accession Number	Factor Value[DoseFrequency]	Characteristics[Vehicule]	Characteristics[Route]	Term Source REF	Term Accession Number	Factor Value[SampleTimePoint]	Characteristics[SampleTimePointUnit]	Term Source REF	Term Accession Number	Characteristics[TreatmentGroup]	Protocol REF	Sample Name
24hour_0_M_Medium_1					Mus musculus	NCBITaxon	xon_10090						liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	Primary hepatocytes			in vitro	1		Medium						TRUE		0	micromolar	UO	64						Medium				24	hour	UO	32		sample collection	24hour_0_M_Medium_1
24hour_0_M_EtOH_1					Mus musculus	NCBITaxon	xon_10090						liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	Primary hepatocytes			in vitro	1		ethanol	CHEBI	16236	1S/C2H6O/c1-2-3/h3H,2H2,1H3			TRUE		0	micromolar	UO	64						EtOH				24	hour	UO	32		sample collection	24hour_0_M_EtOH_1
24hour_2000_M_DMN_1					Mus musculus	NCBITaxon	xon_10090						liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	Primary hepatocytes			in vitro	1		N-nitrosodimethylamine	CHEBI	35807	1S/C2H6N2O/c1-4(2)3-5/h1-2H3			FALSE	24hour_0ﾵM_Medium_1	2000	micromolar	UO	64						Medium				24	hour	UO	32		sample collection	24hour_2000_M_DMN_1
24hour_5_M_MitC_1					Mus musculus	NCBITaxon	xon_10090						liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	Primary hepatocytes			in vitro	1		mitomycin C	CHEBI	27504	1S/C15H18N4O5/c1-5-9(16)12(21)8-6(4-24-14(17)22)15(23-2)13-7(18-13)3-19(15)10(8)11(5)20/h6-7,13,18H,3-4,16H2,1-2H3,(H2,17,22)/t6-,7+,13+,15-/m1/s1			FALSE	24hour_0ﾵM_EtOH_1	5	micromolar	UO	64						EtOH				24	hour	UO	32		sample collection	24hour_5_M_MitC_1
24hour_150_M_8Q_1					Mus musculus	NCBITaxon	xon_10090						liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	Primary hepatocytes			in vitro	1		quinolin-8-ol	CHEBI	48981	1S/C9H7NO/c11-8-5-1-3-7-4-2-6-10-9(7)8/h1-6,11H			FALSE	24hour_0ﾵM_EtOH_1	150	micromolar	UO	64						EtOH				24	hour	UO	32		sample collection	24hour_150_M_8Q_1
48hour_0_M_Medium_1					Mus musculus	NCBITaxon	xon_10090						liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	Primary hepatocytes			in vitro	1		Medium						TRUE		0	micromolar	UO	64						Medium				48	hour	UO	32		sample collection	48hour_0_M_Medium_1
48hour_0_M_EtOH_1					Mus musculus	NCBITaxon	xon_10090						liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	Primary hepatocytes			in vitro	1		ethanol	CHEBI	16236	1S/C2H6O/c1-2-3/h3H,2H2,1H3			TRUE		0	micromolar	UO	64						EtOH				48	hour	UO	32		sample collection	48hour_0_M_EtOH_1
48hour_2000_M_DMN_1					Mus musculus	NCBITaxon	xon_10090						liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	Primary hepatocytes			in vitro	1		N-nitrosodimethylamine	CHEBI	35807	1S/C2H6N2O/c1-4(2)3-5/h1-2H3			FALSE	48hour_0ﾵM_Medium_1	2000	micromolar	UO	64						Medium				48	hour	UO	32		sample collection	48hour_2000_M_DMN_1
48hour_5_M_MitC_1					Mus musculus	NCBITaxon	xon_10090						liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	Primary hepatocytes			in vitro	1		mitomycin C	CHEBI	27504	1S/C15H18N4O5/c1-5-9(16)12(21)8-6(4-24-14(17)22)15(23-2)13-7(18-13)3-19(15)10(8)11(5)20/h6-7,13,18H,3-4,16H2,1-2H3,(H2,17,22)/t6-,7+,13+,15-/m1/s1			FALSE	48hour_0ﾵM_EtOH_1	5	micromolar	UO	64						EtOH				48	hour	UO	32		sample collection	48hour_5_M_MitC_1
48hour_150_M_8Q_1					Mus musculus	NCBITaxon	xon_10090						liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	Primary hepatocytes			in vitro	1		quinolin-8-ol	CHEBI	48981	1S/C9H7NO/c11-8-5-1-3-7-4-2-6-10-9(7)8/h1-6,11H			FALSE	48hour_0ﾵM_EtOH_1	150	micromolar	UO	64						EtOH				48	hour	UO	32		sample collection	48hour_150_M_8Q_1
24hour_0_M_Medium_2					Mus musculus	NCBITaxon	xon_10090						liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	Primary hepatocytes			in vitro	2		Medium						TRUE		0	micromolar	UO	64						Medium				24	hour	UO	32		sample collection	24hour_0_M_Medium_2
24hour_0_M_EtOH_2					Mus musculus	NCBITaxon	xon_10090						liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	Primary hepatocytes			in vitro	2		ethanol	CHEBI	16236	1S/C2H6O/c1-2-3/h3H,2H2,1H3			TRUE		0	micromolar	UO	64						EtOH				24	hour	UO	32		sample collection	24hour_0_M_EtOH_2
24hour_2000_M_DMN_2					Mus musculus	NCBITaxon	xon_10090						liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	Primary hepatocytes			in vitro	2		N-nitrosodimethylamine	CHEBI	35807	1S/C2H6N2O/c1-4(2)3-5/h1-2H3			FALSE	24hour_0ﾵM_Medium_2	2000	micromolar	UO	64						Medium				24	hour	UO	32		sample collection	24hour_2000_M_DMN_2
24hour_5_M_MitC_2					Mus musculus	NCBITaxon	xon_10090						liver	EFO	EFO_0000887	liver	EFO	EFO_0000887	Primary hepatocytes			in vitro	2		mitomycin C	CHEBI	27504	1S/C15H18N4O5/c1-5-9(16)12(21)8-6(4-24-14(17)22)15(23-2)13-7(18-13)3-19(15)10(8)11(5)20/h6-7,13,18H,3-4,16H2,1-2H3,(H2,17,22)/t6-,7+,13+,15-/m1/s1			FALSE	24hour_0ﾵM_EtOH_2	5	micromolar	UO	64						EtOH				24	hour	UO	32		sample collection	24hour_5_M_MitC_2
