Characteristics.Subject.ID.	Characteristics.Strain.	Factor.Value.Compound.	Comment.chEMBL.ID.	Characteristics.Compound.Class.	Characteristics.Control.	Characteristics.Sample.Match.	Factor.Value.Dose.	Characteristics.DoseUnit.	Characteristics.Vehicle.	array_file			control_file	final_array_name	
100935	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_100935.CEL			100935.CEL;100937.CEL;100939.CEL;100941.CEL;100943.CEL;100945.CEL	93746.CEL	93759.CEL
100936	RHCYT	chlorpromazine	CHEMBL71	NA	FALSE	control_1	43.9	micromolar	DMSO .1 %	drugmatrix_100936.CEL			100935.CEL;100937.CEL;100939.CEL;100941.CEL;100943.CEL;100945.CEL	93749.CEL	93940.CEL
100937	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_100937.CEL			100935.CEL;100937.CEL;100939.CEL;100941.CEL;100943.CEL;100945.CEL	93750.CEL	93940.CEL
100938	RHCYT	chlorpromazine	CHEMBL71	NA	FALSE	control_1	43.9	micromolar	DMSO .1 %	drugmatrix_100938.CEL			100935.CEL;100937.CEL;100939.CEL;100941.CEL;100943.CEL;100945.CEL	93752.CEL	93759.CEL
100939	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_100939.CEL			100935.CEL;100937.CEL;100939.CEL;100941.CEL;100943.CEL;100945.CEL	93753.CEL	93940.CEL
100940	RHCYT	chlorpromazine	CHEMBL71	NA	FALSE	control_1	43.9	micromolar	DMSO .1 %	drugmatrix_100940.CEL			100935.CEL;100937.CEL;100939.CEL;100941.CEL;100943.CEL;100945.CEL	93754.CEL	93940.CEL
100941	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_100941.CEL			100935.CEL;100937.CEL;100939.CEL;100941.CEL;100943.CEL;100945.CEL	93755.CEL	93940.CEL
100942	RHCYT	chlorpromazine	CHEMBL71	NA	FALSE	control_1	43.9	micromolar	DMSO .1 %	drugmatrix_100942.CEL			100935.CEL;100937.CEL;100939.CEL;100941.CEL;100943.CEL;100945.CEL	93756.CEL	93759.CEL
100943	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_100943.CEL			100935.CEL;100937.CEL;100939.CEL;100941.CEL;100943.CEL;100945.CEL	93757.CEL	93759.CEL
100944	RHCYT	chlorpromazine	CHEMBL71	NA	FALSE	control_1	43.9	micromolar	DMSO .1 %	drugmatrix_100944.CEL			100935.CEL;100937.CEL;100939.CEL;100941.CEL;100943.CEL;100945.CEL	93759.CEL	93759.CEL
100945	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_100945.CEL			100935.CEL;100937.CEL;100939.CEL;100941.CEL;100943.CEL;100945.CEL	93762.CEL	93940.CEL
