Characteristics.Subject.ID.	Characteristics.Strain.	Factor.Value.Compound.	Comment.chEMBL.ID.	Characteristics.Compound.Class.	Characteristics.Control.	Characteristics.Sample.Match.	Factor.Value.Dose.	Characteristics.DoseUnit.	Characteristics.Vehicle.	array_file	control_file	final_array_name
isoniazid_0_2h_1	not specified	isoniazid	CHEMBL64	NA	TRUE		0	micromolar	NA	tg_gates_003017005002.CEL		
isoniazid_0_2h_2	not specified	isoniazid	CHEMBL64	NA	TRUE		0	micromolar	NA	tg_gates_003017005003.CEL		
isoniazid_400_2h_1	not specified	isoniazid	CHEMBL64	NA	FALSE	isoniazid_0_2h_1	400	micromolar	NA	tg_gates_003017005004.CEL	tg_gates_003017005002.CEL	
isoniazid_400_2h_2	not specified	isoniazid	CHEMBL64	NA	FALSE	isoniazid_0_2h_2	400	micromolar	NA	tg_gates_003017005005.CEL	tg_gates_003017005003.CEL	
isoniazid_2000_2h_1	not specified	isoniazid	CHEMBL64	NA	FALSE	isoniazid_0_2h_1	2000	micromolar	NA	tg_gates_003017005006.CEL	tg_gates_003017005002.CEL	
isoniazid_2000_2h_2	not specified	isoniazid	CHEMBL64	NA	FALSE	isoniazid_0_2h_2	2000	micromolar	NA	tg_gates_003017005007.CEL	tg_gates_003017005003.CEL	
isoniazid_10000_2h_1	not specified	isoniazid	CHEMBL64	NA	FALSE	isoniazid_0_2h_1	10000	micromolar	NA	tg_gates_003017005008.CEL	tg_gates_003017005002.CEL	
isoniazid_10000_2h_2	not specified	isoniazid	CHEMBL64	NA	FALSE	isoniazid_0_2h_2	10000	micromolar	NA	tg_gates_003017005009.CEL	tg_gates_003017005003.CEL	
isoniazid_0_8h_1	not specified	isoniazid	CHEMBL64	NA	TRUE		0	micromolar	NA	tg_gates_003017005010.CEL		
isoniazid_0_8h_2	not specified	isoniazid	CHEMBL64	NA	TRUE		0	micromolar	NA	tg_gates_003017005011.CEL		
isoniazid_400_8h_1	not specified	isoniazid	CHEMBL64	NA	FALSE	isoniazid_0_8h_1	400	micromolar	NA	tg_gates_003017005012.CEL	tg_gates_003017005010.CEL	
isoniazid_400_8h_2	not specified	isoniazid	CHEMBL64	NA	FALSE	isoniazid_0_8h_2	400	micromolar	NA	tg_gates_003017005013.CEL	tg_gates_003017005011.CEL	
isoniazid_2000_8h_1	not specified	isoniazid	CHEMBL64	NA	FALSE	isoniazid_0_8h_1	2000	micromolar	NA	tg_gates_003017005014.CEL	tg_gates_003017005010.CEL	
isoniazid_2000_8h_2	not specified	isoniazid	CHEMBL64	NA	FALSE	isoniazid_0_8h_2	2000	micromolar	NA	tg_gates_003017005015.CEL	tg_gates_003017005011.CEL	
isoniazid_10000_8h_1	not specified	isoniazid	CHEMBL64	NA	FALSE	isoniazid_0_8h_1	10000	micromolar	NA	tg_gates_003017005016.CEL	tg_gates_003017005010.CEL	
isoniazid_10000_8h_2	not specified	isoniazid	CHEMBL64	NA	FALSE	isoniazid_0_8h_2	10000	micromolar	NA	tg_gates_003017005017.CEL	tg_gates_003017005011.CEL	
isoniazid_0_24h_1	not specified	isoniazid	CHEMBL64	NA	TRUE		0	micromolar	NA	tg_gates_003017005018.CEL		
isoniazid_0_24h_2	not specified	isoniazid	CHEMBL64	NA	TRUE		0	micromolar	NA	tg_gates_003017005019.CEL		
isoniazid_400_24h_1	not specified	isoniazid	CHEMBL64	NA	FALSE	isoniazid_0_24h_1	400	micromolar	NA	tg_gates_003017005020.CEL	tg_gates_003017005018.CEL	
