Characteristics.Subject.ID.	Characteristics.Strain.	Factor.Value.Compound.	Comment.chEMBL.ID.	Genotoxicity	Carcinogenicity	Characteristics.Control.	Characteristics.Sample.Match.	Factor.Value.Dose.	Characteristics.DoseUnit.	Time	TimeUnit	Replicate	Characteristics.Vehicle.	array_file	control_file	final_array_name
isoniazid_0_2h_1	not specified	isoniazid	CHEMBL64	NA	C	TRUE		0	uM	2	h	1	NA	tg_gates_003017005002.CEL		study23_CHEMBL64_0uM_2h_1
isoniazid_0_2h_2	not specified	isoniazid	CHEMBL64	NA	C	TRUE		0	uM	2	h	2	NA	tg_gates_003017005003.CEL		study23_CHEMBL64_0uM_2h_2
isoniazid_400_2h_1	not specified	isoniazid	CHEMBL64	NA	C	FALSE	isoniazid_0_2h_1	400	uM	2	h	1	NA	tg_gates_003017005004.CEL	tg_gates_003017005002.CEL	study23_CHEMBL64_400uM_2h_1
isoniazid_400_2h_2	not specified	isoniazid	CHEMBL64	NA	C	FALSE	isoniazid_0_2h_2	400	uM	2	h	2	NA	tg_gates_003017005005.CEL	tg_gates_003017005003.CEL	study23_CHEMBL64_400uM_2h_2
isoniazid_2000_2h_1	not specified	isoniazid	CHEMBL64	NA	C	FALSE	isoniazid_0_2h_1	2000	uM	2	h	1	NA	tg_gates_003017005006.CEL	tg_gates_003017005002.CEL	study23_CHEMBL64_2000uM_2h_1
isoniazid_2000_2h_2	not specified	isoniazid	CHEMBL64	NA	C	FALSE	isoniazid_0_2h_2	2000	uM	2	h	2	NA	tg_gates_003017005007.CEL	tg_gates_003017005003.CEL	study23_CHEMBL64_2000uM_2h_2
isoniazid_10000_2h_1	not specified	isoniazid	CHEMBL64	NA	C	FALSE	isoniazid_0_2h_1	10000	uM	2	h	1	NA	tg_gates_003017005008.CEL	tg_gates_003017005002.CEL	study23_CHEMBL64_10000uM_2h_1
isoniazid_10000_2h_2	not specified	isoniazid	CHEMBL64	NA	C	FALSE	isoniazid_0_2h_2	10000	uM	2	h	2	NA	tg_gates_003017005009.CEL	tg_gates_003017005003.CEL	study23_CHEMBL64_10000uM_2h_2
isoniazid_0_8h_1	not specified	isoniazid	CHEMBL64	NA	C	TRUE		0	uM	8	h	1	NA	tg_gates_003017005010.CEL		study23_CHEMBL64_0uM_8h_1
isoniazid_0_8h_2	not specified	isoniazid	CHEMBL64	NA	C	TRUE		0	uM	8	h	2	NA	tg_gates_003017005011.CEL		study23_CHEMBL64_0uM_8h_2
isoniazid_400_8h_1	not specified	isoniazid	CHEMBL64	NA	C	FALSE	isoniazid_0_8h_1	400	uM	8	h	1	NA	tg_gates_003017005012.CEL	tg_gates_003017005010.CEL	study23_CHEMBL64_400uM_8h_1
isoniazid_400_8h_2	not specified	isoniazid	CHEMBL64	NA	C	FALSE	isoniazid_0_8h_2	400	uM	8	h	2	NA	tg_gates_003017005013.CEL	tg_gates_003017005011.CEL	study23_CHEMBL64_400uM_8h_2
isoniazid_2000_8h_1	not specified	isoniazid	CHEMBL64	NA	C	FALSE	isoniazid_0_8h_1	2000	uM	8	h	1	NA	tg_gates_003017005014.CEL	tg_gates_003017005010.CEL	study23_CHEMBL64_2000uM_8h_1
isoniazid_2000_8h_2	not specified	isoniazid	CHEMBL64	NA	C	FALSE	isoniazid_0_8h_2	2000	uM	8	h	2	NA	tg_gates_003017005015.CEL	tg_gates_003017005011.CEL	study23_CHEMBL64_2000uM_8h_2
isoniazid_10000_8h_1	not specified	isoniazid	CHEMBL64	NA	C	FALSE	isoniazid_0_8h_1	10000	uM	8	h	1	NA	tg_gates_003017005016.CEL	tg_gates_003017005010.CEL	study23_CHEMBL64_10000uM_8h_1
isoniazid_10000_8h_2	not specified	isoniazid	CHEMBL64	NA	C	FALSE	isoniazid_0_8h_2	10000	uM	8	h	2	NA	tg_gates_003017005017.CEL	tg_gates_003017005011.CEL	study23_CHEMBL64_10000uM_8h_2
isoniazid_0_24h_1	not specified	isoniazid	CHEMBL64	NA	C	TRUE		0	uM	24	h	1	NA	tg_gates_003017005018.CEL		study23_CHEMBL64_0uM_24h_1
isoniazid_0_24h_2	not specified	isoniazid	CHEMBL64	NA	C	TRUE		0	uM	24	h	2	NA	tg_gates_003017005019.CEL		study23_CHEMBL64_0uM_24h_2
isoniazid_400_24h_1	not specified	isoniazid	CHEMBL64	NA	C	FALSE	isoniazid_0_24h_1	400	uM	24	h	1	NA	tg_gates_003017005020.CEL	tg_gates_003017005018.CEL	study23_CHEMBL64_400uM_24h_1
isoniazid_400_24h_2	not specified	isoniazid	CHEMBL64	NA	C	FALSE	isoniazid_0_24h_2	400	uM	24	h	2	NA	tg_gates_003017005021.CEL	tg_gates_003017005019.CEL	study23_CHEMBL64_400uM_24h_2
isoniazid_2000_24h_1	not specified	isoniazid	CHEMBL64	NA	C	FALSE	isoniazid_0_24h_1	2000	uM	24	h	1	NA	tg_gates_003017005022.CEL	tg_gates_003017005018.CEL	study23_CHEMBL64_2000uM_24h_1
isoniazid_2000_24h_2	not specified	isoniazid	CHEMBL64	NA	C	FALSE	isoniazid_0_24h_2	2000	uM	24	h	2	NA	tg_gates_003017005023.CEL	tg_gates_003017005019.CEL	study23_CHEMBL64_2000uM_24h_2
isoniazid_10000_24h_1	not specified	isoniazid	CHEMBL64	NA	C	FALSE	isoniazid_0_24h_1	10000	uM	24	h	1	NA	tg_gates_003017005024.CEL	tg_gates_003017005018.CEL	study23_CHEMBL64_10000uM_24h_1
isoniazid_10000_24h_2	not specified	isoniazid	CHEMBL64	NA	C	FALSE	isoniazid_0_24h_2	10000	uM	24	h	2	NA	tg_gates_003017005025.CEL	tg_gates_003017005019.CEL	study23_CHEMBL64_10000uM_24h_2
valproic acid_400_24h_2	not specified	valproic acid	CHEMBL109	NGTX	NA	FALSE	valproic acid_0_24h_2	400	uM	24	h	2	NA	tg_gates_003017005026.CEL	tg_gates_003017006018.CEL	study23_CHEMBL109_400uM_24h_2
valproic acid_2000_24h_1	not specified	valproic acid	CHEMBL109	NGTX	NA	FALSE	valproic acid_0_24h_1	2000	uM	24	h	1	NA	tg_gates_003017005027.CEL	tg_gates_003017006017.CEL	study23_CHEMBL109_2000uM_24h_1
valproic acid_2000_24h_2	not specified	valproic acid	CHEMBL109	NGTX	NA	FALSE	valproic acid_0_24h_2	2000	uM	24	h	2	NA	tg_gates_003017005028.CEL	tg_gates_003017006018.CEL	study23_CHEMBL109_2000uM_24h_2
valproic acid_10000_24h_1	not specified	valproic acid	CHEMBL109	NGTX	NA	FALSE	valproic acid_0_24h_1	10000	uM	24	h	1	NA	tg_gates_003017005029.CEL	tg_gates_003017006017.CEL	study23_CHEMBL109_10000uM_24h_1
valproic acid_10000_24h_2	not specified	valproic acid	CHEMBL109	NGTX	NA	FALSE	valproic acid_0_24h_2	10000	uM	24	h	2	NA	tg_gates_003017005030.CEL	tg_gates_003017006018.CEL	study23_CHEMBL109_10000uM_24h_2
valproic acid_0_2h_1	not specified	valproic acid	CHEMBL109	NGTX	NA	TRUE		0	uM	2	h	1	NA	tg_gates_003017006001.CEL		study23_CHEMBL109_0uM_2h_1
valproic acid_0_2h_2	not specified	valproic acid	CHEMBL109	NGTX	NA	TRUE		0	uM	2	h	2	NA	tg_gates_003017006002.CEL		study23_CHEMBL109_0uM_2h_2
valproic acid_400_2h_1	not specified	valproic acid	CHEMBL109	NGTX	NA	FALSE	valproic acid_0_2h_1	400	uM	2	h	1	NA	tg_gates_003017006003.CEL	tg_gates_003017006001.CEL	study23_CHEMBL109_400uM_2h_1
valproic acid_400_2h_2	not specified	valproic acid	CHEMBL109	NGTX	NA	FALSE	valproic acid_0_2h_2	400	uM	2	h	2	NA	tg_gates_003017006004.CEL	tg_gates_003017006002.CEL	study23_CHEMBL109_400uM_2h_2
valproic acid_2000_2h_1	not specified	valproic acid	CHEMBL109	NGTX	NA	FALSE	valproic acid_0_2h_1	2000	uM	2	h	1	NA	tg_gates_003017006005.CEL	tg_gates_003017006001.CEL	study23_CHEMBL109_2000uM_2h_1
valproic acid_2000_2h_2	not specified	valproic acid	CHEMBL109	NGTX	NA	FALSE	valproic acid_0_2h_2	2000	uM	2	h	2	NA	tg_gates_003017006006.CEL	tg_gates_003017006002.CEL	study23_CHEMBL109_2000uM_2h_2
valproic acid_10000_2h_1	not specified	valproic acid	CHEMBL109	NGTX	NA	FALSE	valproic acid_0_2h_1	10000	uM	2	h	1	NA	tg_gates_003017006007.CEL	tg_gates_003017006001.CEL	study23_CHEMBL109_10000uM_2h_1
valproic acid_10000_2h_2	not specified	valproic acid	CHEMBL109	NGTX	NA	FALSE	valproic acid_0_2h_2	10000	uM	2	h	2	NA	tg_gates_003017006008.CEL	tg_gates_003017006002.CEL	study23_CHEMBL109_10000uM_2h_2
valproic acid_0_8h_1	not specified	valproic acid	CHEMBL109	NGTX	NA	TRUE		0	uM	8	h	1	NA	tg_gates_003017006009.CEL		study23_CHEMBL109_0uM_8h_1
valproic acid_0_8h_2	not specified	valproic acid	CHEMBL109	NGTX	NA	TRUE		0	uM	8	h	2	NA	tg_gates_003017006010.CEL		study23_CHEMBL109_0uM_8h_2
valproic acid_400_8h_1	not specified	valproic acid	CHEMBL109	NGTX	NA	FALSE	valproic acid_0_8h_1	400	uM	8	h	1	NA	tg_gates_003017006011.CEL	tg_gates_003017006009.CEL	study23_CHEMBL109_400uM_8h_1
valproic acid_400_8h_2	not specified	valproic acid	CHEMBL109	NGTX	NA	FALSE	valproic acid_0_8h_2	400	uM	8	h	2	NA	tg_gates_003017006012.CEL	tg_gates_003017006010.CEL	study23_CHEMBL109_400uM_8h_2
valproic acid_2000_8h_1	not specified	valproic acid	CHEMBL109	NGTX	NA	FALSE	valproic acid_0_8h_1	2000	uM	8	h	1	NA	tg_gates_003017006013.CEL	tg_gates_003017006009.CEL	study23_CHEMBL109_2000uM_8h_1
valproic acid_2000_8h_2	not specified	valproic acid	CHEMBL109	NGTX	NA	FALSE	valproic acid_0_8h_2	2000	uM	8	h	2	NA	tg_gates_003017006014.CEL	tg_gates_003017006010.CEL	study23_CHEMBL109_2000uM_8h_2
valproic acid_10000_8h_1	not specified	valproic acid	CHEMBL109	NGTX	NA	FALSE	valproic acid_0_8h_1	10000	uM	8	h	1	NA	tg_gates_003017006015.CEL	tg_gates_003017006009.CEL	study23_CHEMBL109_10000uM_8h_1
valproic acid_10000_8h_2	not specified	valproic acid	CHEMBL109	NGTX	NA	FALSE	valproic acid_0_8h_2	10000	uM	8	h	2	NA	tg_gates_003017006016.CEL	tg_gates_003017006010.CEL	study23_CHEMBL109_10000uM_8h_2
valproic acid_0_24h_1	not specified	valproic acid	CHEMBL109	NGTX	NA	TRUE		0	uM	24	h	1	NA	tg_gates_003017006017.CEL		study23_CHEMBL109_0uM_24h_1
valproic acid_0_24h_2	not specified	valproic acid	CHEMBL109	NGTX	NA	TRUE		0	uM	24	h	2	NA	tg_gates_003017006018.CEL		study23_CHEMBL109_0uM_24h_2
