chembl_id	inchi_key	cid
CHEMBL101	VYMDGNCVAMGZFE-UHFFFAOYSA-N	4781
CHEMBL1064	RYMZZMVNJRMUDD-HGQWONQESA-N	54454
CHEMBL107	IAKHMKGGTNLKSZ-INIZCTEOSA-N	6167
CHEMBL108	FFGPTBGBLSHEPO-UHFFFAOYSA-N	2554
CHEMBL1089221	BYFMCKSPFYVMOU-UHFFFAOYSA-N	2313
CHEMBL109	NIJJYAXOARWZEE-UHFFFAOYSA-N	3121
CHEMBL11	BCGWQEUPMDMJNV-UHFFFAOYSA-N	3696
CHEMBL112	RZVAJINKPMORJF-UHFFFAOYSA-N	1983
CHEMBL113	RYYVLZVUVIJVGH-UHFFFAOYSA-N	2519
CHEMBL1177	NRNCYVBFPDDJNE-UHFFFAOYSA-N	4723
CHEMBL12	AAOVKJBEBIDNHE-UHFFFAOYSA-N	3016
CHEMBL1200688	NSYZCCDSJNWWJL-YXOIYICCSA-N	443953
CHEMBL1200714	WEQAYVWKMWHEJO-UHFFFAOYSA-N	2717
CHEMBL1201088	AMPCGOAFZFKBGH-UHFFFAOYSA-N	164877
CHEMBL1201089	SPCKHVPPRJWQRZ-UHFFFAOYSA-N	174697
CHEMBL1201082	GIYXAJPCNFJEHY-UHFFFAOYSA-N	62857
CHEMBL1201093	UJYSYPVQHFNBML-UHFFFAOYSA-N	157921
CHEMBL1201096	DNNSSWSSYDEUBZ-OIOBTWANSA-N	66380
CHEMBL1201097	POUMFISTNHIPTI-BOMBIWCESA-N	64710
CHEMBL1201288	OZOMQRBLCMDCEG-VIZOYTHASA-N	6914273
CHEMBL123292	YPHMISFOHDHNIV-FSZOTQKASA-N	6197
CHEMBL130	WIIZWVCIJKGZOK-RKDXNWHRSA-N	5959
CHEMBL1314	YTGJWQPHMWSCST-UHFFFAOYSA-N	5483
CHEMBL1381098	JBDOSUUXMYMWQH-UHFFFAOYSA-N	11080
CHEMBL139	DCOPUUMXTXDBNB-UHFFFAOYSA-N	3033
CHEMBL1395	GCKMFJBGXUYNAG-HLXURNFRSA-N	6010
CHEMBL1411979	HNJJXZKZRAWDPF-UHFFFAOYSA-N	4098
CHEMBL1430	VVNCNSJFMMFHPL-VKHMYHEASA-N	5852
CHEMBL1431	XZWYZXLIPXDOLR-UHFFFAOYSA-N	4091
CHEMBL1440	OFVLGDICTFRJMM-WESIUVDSSA-N	54675776
CHEMBL1441	AEOCXXJPGCBFJA-UHFFFAOYSA-N	3287
CHEMBL1467	OFCNXPDARWKPPY-UHFFFAOYSA-N	2094
CHEMBL1479	POZRVZJJTULAOH-LHZXLZLDSA-N	28417
CHEMBL1503	SUBDBMMJDZJVOS-UHFFFAOYSA-N	4594
CHEMBL1515	PMRYVIKBURPHAH-UHFFFAOYSA-N	4104
CHEMBL1518	KNAHARQHSZJURB-UHFFFAOYSA-N	4950
CHEMBL154	CMWTZPSULFXXJA-VIFPVBQESA-N	156391
CHEMBL1542	LMEKQMALGUDUQG-UHFFFAOYSA-N	2265
CHEMBL1560	FAKRSMQSSFJEIM-RQJHMYQMSA-N	44093
CHEMBL1566	XUFXOAAUWZOOIT-SXARVLRPSA-N	444254
CHEMBL1569487	WLHQHAUOOXYABV-UHFFFAOYSA-N	54690031
CHEMBL15770	MLKXDPUZXIRXEP-MFOYZWKCSA-N	1548887
CHEMBL159226	VRYMTAVOXVTQEF-UHFFFAOYSA-N	4260
CHEMBL16	CXOFVDLJLONNDW-UHFFFAOYSA-N	1775
CHEMBL160	PMATZTZNYRCHOR-CGLBZJNRSA-N	5284373
CHEMBL16068	QARVLSVVCXYDNA-UHFFFAOYSA-N	7961
CHEMBL16073	CPJSUEIXXCENMM-UHFFFAOYSA-N	4754
CHEMBL16081	DLFVBJFMPXGRIB-UHFFFAOYSA-N	178
CHEMBL1609891	WDFRNLYXRQXXFS-CVSPRKDYSA-N	119565
CHEMBL1628227	ODQWQRRAPPTVAG-UHFFFAOYSA-N	3158
CHEMBL164290	WBNQDOYYEUMPFS-UHFFFAOYSA-N	5921
CHEMBL165908	ZKXDGKXYMTYWTB-UHFFFAOYSA-N	6046
CHEMBL1697693	IZQAUUVBKYXMET-UHFFFAOYSA-N	7851
CHEMBL1697694	OQIQSTLJSLGHID-WNWIJWBNSA-N	186907
CHEMBL1697830	VUHJZBBCZGVNDZ-TTYLFXKOSA-N	5284533
CHEMBL1697856	LIAWQASKBFCRNR-UHFFFAOYSA-N	14130
CHEMBL1790041	VMXUWOKSQNHOCA-UHFFFAOYSA-N	5039
CHEMBL190	ZFXYFBGIUFBOJW-UHFFFAOYSA-N	2153
CHEMBL19224	XQYZDYMELSJDRZ-UHFFFAOYSA-N	4680
CHEMBL193	HYIMSNHJOBLJNT-UHFFFAOYSA-N	4485
CHEMBL20	BZKPWHYZMXOIDC-UHFFFAOYSA-N	1986
CHEMBL203187	GGLZPLKKBSSKCX-YFKPBYRVSA-N	25674
CHEMBL2037000	IEPRKVQEAMIZSS-WAYWQWQTSA-N	5271566
CHEMBL2105617	CJDRUOGAGYHKKD-FUIWMBJSSA-N	70691408
CHEMBL21578	LOUPRKONTZGTKE-NBGVHYBESA-N	5953
CHEMBL228514	CKAPSXZOOQJIBF-UHFFFAOYSA-N	8370
