compound	cluster_id
CHEMBL1200688	1
CHEMBL44814	1
CHEMBL479	2
CHEMBL646	2
CHEMBL35	3
CHEMBL623	3
CHEMBL16068	4
CHEMBL429023	4
CHEMBL54	4
CHEMBL108	5
CHEMBL25	5
CHEMBL54349	5
CHEMBL92401	5
CHEMBL1201093	6
CHEMBL1431	6
CHEMBL154	6
CHEMBL232201	6
CHEMBL643	6
CHEMBL806	6
CHEMBL139	7
CHEMBL295698	7
CHEMBL40	7
CHEMBL986	7
CHEMBL1201082	8
CHEMBL1479	8
CHEMBL1628227	8
CHEMBL1697693	9
CHEMBL514	9
CHEMBL1177	10
CHEMBL165908	10
CHEMBL599	10
CHEMBL1314	11
CHEMBL565	11
CHEMBL130	12
CHEMBL374478	12
CHEMBL42	12
CHEMBL517	12
CHEMBL695	12
CHEMBL1440	13
CHEMBL1503	13
CHEMBL27	13
CHEMBL44884	13
CHEMBL833	13
CHEMBL1395	14
CHEMBL20	14
CHEMBL384467	14
CHEMBL502682	14
CHEMBL606759	14
CHEMBL159226	15
CHEMBL19224	15
CHEMBL1201088	16
CHEMBL572	16
CHEMBL686	16
CHEMBL691	16
CHEMBL95	16
CHEMBL726	17
CHEMBL1542	18
CHEMBL637	18
CHEMBL1566	19
CHEMBL672	19
CHEMBL1411979	20
CHEMBL578	20
CHEMBL6	20
CHEMBL964	20
CHEMBL23832	21
CHEMBL44657	21
CHEMBL6466	22
CHEMBL88	22
CHEMBL505	23
CHEMBL164290	24
CHEMBL8	24
CHEMBL1089221	25
CHEMBL15770	25
CHEMBL415	25
CHEMBL123292	26
CHEMBL107	27
CHEMBL16	27
CHEMBL190	27
CHEMBL228514	27
CHEMBL109	28
CHEMBL502074	28
CHEMBL843	28
CHEMBL1609891	29
CHEMBL498	29
CHEMBL12	30
CHEMBL1200714	30
CHEMBL16073	30
CHEMBL521	30
CHEMBL633	30
CHEMBL1201089	31
CHEMBL2037000	31
CHEMBL273386	31
CHEMBL457	31
CHEMBL30	32
CHEMBL101	33
CHEMBL1790041	33
CHEMBL2766015	33
CHEMBL75880	33
CHEMBL902	33
CHEMBL1064	34
CHEMBL1697830	34
CHEMBL459	34
CHEMBL11	35
CHEMBL1201097	35
CHEMBL295416	35
CHEMBL1697694	36
CHEMBL472	36
CHEMBL505513	36
CHEMBL629	36
CHEMBL896	36
CHEMBL26	37
CHEMBL49	37
CHEMBL112	38
CHEMBL1201288	38
CHEMBL521035	38
CHEMBL1560	39
CHEMBL288958	39
CHEMBL388590	39
CHEMBL193	40
CHEMBL429	40
CHEMBL869	40
CHEMBL203187	41
CHEMBL421	41
CHEMBL822	41
CHEMBL782	42
CHEMBL85728	42
CHEMBL1381098	43
CHEMBL1697856	43
CHEMBL23	43
CHEMBL267345	43
CHEMBL56367	43
CHEMBL113	44
CHEMBL351487	44
CHEMBL64	44
CHEMBL71	44
CHEMBL83	45
CHEMBL1430	46
CHEMBL2105617	46
CHEMBL562	46
