CID,178,323,702,938,1493,1775,1935,1983,1986,2153,2157,2160,2244,2265,2313,2333,2477,2519,2554,2717,2725,2726,2727,2756,2764,2796,2801,2907,3016,3033,3114,3117,3121,3158,3325,3339,3372,3397,3440,3463,3488,3559,3658,3672,3696,3715,3748,3767,3869,3950,4044,4091,4098,4178,4260,4386,4449,4485,4495,4594,4680,4723,4746,4754,4763,4781,4927,4946,5039,5339,5355,5452,5472,5483,5505,5556,5576,5656,5694,5743,5852,5897,5921,5943,5953,5959,5991,6010,6046,6167,6197,6237,6758,6932,7577,7851,7858,7961,8370,9415,10438,11080,11831,12699,14052,14130,25674,28417,31703,36462,38853,39186,44093,47576,54454,54897,62857,64710,66380,119565,156391,157921,164877,174697,186907,441140,443953,444254,445354,445621,1548887,1549008,2733526,5271566,5280965,5281055,5284373,5284533,5388962,5447130,6604200,6914273,16129778,44567139,46931065,54675776,54677470,54690031,70691408,135398735,135398737
178,100,9,37,9,9,16,7,17,31,14,9,10,8,7,7,6,11,13,13,14,6,7,16,11,10,9,7,28,12,12,12,25,25,10,13,7,7,16,8,9,11,9,9,11,8,7,14,13,13,25,12,22,6,13,11,12,8,12,10,6,6,15,19,16,18,14,7,11,11,7,12,7,6,38,16,5,33,10,10,10,35,17,32,0,6,12,7,12,26,12,25,7,6,7,12,42,24,7,2,13,28,7,8,36,31,14,35,8,9,6,14,9,23,7,12,8,12,17,0,30,8,34,8,11,7,6,13,14,15,21,9,9,10,24,15,9,21,11,15,12,11,9,5,9,15,11,10,10,7,7,8
323,9,100,7,39,44,40,32,47,9,9,59,43,81,6,47,58,17,10,39,38,29,27,33,7,38,68,33,9,34,41,31,6,24,70,10,66,32,37,45,77,49,48,38,57,36,43,31,32,50,11,47,3,21,71,72,49,43,45,50,35,43,54,14,56,42,36,29,62,46,38,53,28,34,12,40,26,14,64,31,31,15,38,6,0,40,40,54,33,11,54,20,63,58,70,40,4,15,40,29,30,28,39,38,6,10,52,13,37,50,52,56,49,15,40,38,25,64,16,0,13,68,17,36,54,67,54,20,26,32,15,48,39,68,31,33,44,22,32,43,45,41,46,57,25,24,46,37,27,34,38,29
702,37,7,100,7,8,7,3,9,13,6,7,7,9,4,6,7,5,7,6,7,4,4,8,5,6,10,5,20,6,7,6,17,28,9,6,7,9,7,6,11,5,7,11,12,5,5,6,6,9,11,8,11,4,10,8,7,6,7,6,4,5,8,8,9,8,8,5,10,6,4,6,4,4,21,8,3,18,10,6,14,24,7,24,0,7,9,9,13,26,6,18,7,6,11,5,18,56,8,3,12,25,5,5,17,32,10,22,7,7,8,9,6,16,5,17,4,9,13,0,19,9,20,5,10,7,6,14,14,28,20,10,6,9,27,12,6,15,12,10,5,4,4,7,6,11,6,6,5,9,5,4
938,9,39,7,100,41,39,52,50,10,30,37,34,43,23,51,34,44,31,45,40,58,38,29,23,56,33,41,14,46,51,65,9,19,35,20,36,42,43,49,38,38,50,39,42,45,55,70,73,46,13,63,7,52,34,36,65,40,46,35,48,57,42,15,44,40,46,40,35,43,61,41,38,36,17,34,41,15,41,50,21,19,43,10,0,54,46,32,22,14,36,22,36,31,35,39,6,13,27,20,30,18,40,37,8,15,46,17,48,35,30,43,43,25,45,26,52,36,21,0,16,37,20,47,41,32,29,20,27,23,17,35,37,35,18,28,58,27,22,43,47,44,45,34,47,28,40,48,54,43,41,43
1493,9,44,8,41,100,36,38,70,9,13,35,33,43,17,42,35,20,14,45,33,34,39,32,11,41,42,40,11,38,45,35,7,13,42,15,35,40,50,40,42,36,38,37,39,44,40,34,35,46,15,47,5,30,44,40,50,46,50,65,37,41,42,11,60,35,45,40,41,44,42,39,39,31,11,33,31,11,48,35,20,15,41,10,0,44,57,43,21,14,37,17,38,32,47,48,6,16,35,26,25,17,44,52,8,15,58,14,39,35,33,51,44,15,38,23,29,42,16,0,14,40,14,43,38,34,31,15,28,24,21,33,34,43,15,25,37,24,20,36,51,46,45,34,32,25,41,34,36,41,35,35
1775,16,40,7,39,36,100,48,48,22,28,42,54,41,18,39,39,36,28,64,53,43,38,46,19,47,34,49,15,55,56,54,11,21,44,20,40,45,57,40,39,49,50,55,55,54,41,45,45,53,28,55,11,37,42,40,56,40,53,37,35,36,59,28,46,79,63,43,42,44,38,52,40,47,22,55,44,23,46,45,31,20,63,11,0,34,47,39,34,14,41,34,42,38,39,60,8,13,38,27,31,23,52,53,14,20,44,18,40,37,35,51,46,27,38,33,47,45,32,0,18,45,21,54,45,39,35,23,26,31,16,48,56,42,17,32,43,40,33,62,37,44,52,33,44,34,47,44,39,44,36,46
1935,7,32,3,52,38,48,100,46,9,26,32,46,28,29,56,28,40,26,65,41,70,53,32,27,48,25,61,12,60,53,69,10,11,36,27,28,54,54,36,28,33,38,47,35,67,51,59,59,37,15,52,9,52,35,30,53,41,47,37,47,60,39,27,43,46,53,56,36,29,48,33,54,44,10,39,59,9,37,62,20,10,58,10,0,58,42,32,21,11,31,20,30,28,31,63,7,9,33,24,20,16,63,52,6,13,41,9,37,28,26,35,40,12,42,23,54,37,15,0,10,33,10,69,33,27,23,14,22,24,12,32,52,37,10,22,45,22,21,36,32,31,38,25,52,23,33,40,44,48,35,62
1983,17,47,9,50,70,48,46,100,16,22,40,38,48,17,48,39,27,22,60,44,41,46,42,18,50,47,48,15,51,60,47,11,18,47,19,39,45,61,49,48,47,45,41,44,52,50,47,45,57,22,64,8,37,50,45,66,54,51,57,45,48,49,19,85,46,60,50,49,47,50,51,46,36,23,43,37,18,54,45,23,19,62,11,0,50,60,46,25,13,48,29,42,35,51,53,9,16,36,26,30,22,46,46,11,23,82,20,38,39,36,57,54,24,45,27,37,51,24,0,19,45,20,51,42,37,33,18,34,28,23,37,41,46,19,30,48,34,25,47,48,47,47,36,41,32,48,43,48,48,41,45
1986,31,9,13,10,9,22,9,16,100,27,11,9,8,20,12,8,19,25,15,20,8,9,26,27,11,9,8,20,12,12,13,24,15,9,35,7,10,16,14,8,17,10,10,10,8,10,15,15,13,28,12,25,16,11,11,12,16,13,15,17,8,18,14,15,21,17,10,11,19,16,19,10,12,29,26,16,26,10,19,9,24,16,20,0,8,13,7,11,20,12,20,9,8,7,10,16,10,6,3,14,15,11,8,30,24,14,26,11,9,7,12,11,24,14,10,15,12,22,0,29,8,20,9,11,8,8,12,13,10,15,13,8,9,15,12,18,20,10,18,18,21,18,6,15,20,11,27,23,10,11,13
2153,14,9,6,30,13,28,26,22,27,100,14,12,10,58,24,11,50,91,24,19,28,18,20,60,25,10,17,18,26,18,35,12,11,12,35,9,19,23,20,9,18,15,17,11,19,25,35,33,17,23,21,21,37,12,12,22,27,17,13,38,24,18,15,21,25,26,20,13,23,29,21,18,16,24,20,31,24,12,35,11,18,23,12,0,23,19,9,12,15,16,18,12,11,8,14,9,8,7,5,16,12,13,14,16,21,21,17,21,11,10,13,19,23,34,10,46,13,23,0,17,9,17,21,13,10,10,14,15,9,13,11,13,11,12,13,34,24,11,24,20,26,26,8,32,26,16,37,39,21,21,27
2157,9,59,7,37,35,42,32,40,11,14,100,44,65,12,49,76,23,15,34,36,33,29,30,11,42,49,36,13,36,39,38,12,18,68,11,66,34,32,50,60,56,55,43,47,38,53,33,33,64,13,46,7,26,61,67,46,46,45,43,39,50,52,20,48,43,39,30,64,52,43,59,29,36,15,36,30,19,64,28,38,15,37,11,0,46,39,48,35,17,55,29,87,69,56,35,6,11,27,20,39,20,34,35,8,17,49,14,44,61,53,51,55,20,45,39,34,62,27,0,14,62,19,37,61,65,64,33,29,28,16,44,43,71,21,38,51,31,34,50,45,43,51,57,39,30,55,36,29,39,53,31
2160,10,43,7,34,33,54,46,38,9,12,44,100,38,12,34,36,24,13,56,51,50,45,47,16,38,35,60,15,53,42,47,21,19,65,14,40,46,44,29,40,37,53,57,56,68,32,38,37,44,20,45,13,35,50,50,42,34,44,33,28,39,45,37,36,56,49,50,51,32,30,37,47,53,16,58,42,17,58,37,30,16,56,18,0,35,40,48,34,16,44,22,39,36,47,62,12,14,51,36,29,26,60,57,9,19,34,13,36,36,35,42,39,17,31,33,35,54,20,0,14,45,14,65,53,36,33,23,28,42,13,52,78,58,16,29,31,31,32,50,26,25,31,31,32,26,44,34,26,44,29,49
2244,8,81,9,43,43,41,28,48,8,10,65,38,100,6,44,68,19,11,34,36,27,24,31,7,44,63,30,8,31,44,33,6,29,62,9,70,29,35,50,77,55,53,35,63,33,48,33,32,59,11,54,4,21,64,65,55,40,47,46,33,40,54,12,52,44,36,26,57,48,47,60,25,30,14,37,24,15,60,30,36,19,34,7,0,40,41,51,36,10,53,27,73,65,68,35,3,16,34,25,36,25,32,33,6,12,55,17,40,59,57,62,50,19,38,45,27,57,22,0,17,70,19,33,59,70,62,27,28,33,18,51,34,60,29,40,47,29,36,48,46,43,49,65,30,26,53,37,28,33,46,27
2265,7,6,4,23,17,18,29,17,20,58,12,12,6,100,25,9,39,55,20,17,27,24,18,58,18,7,17,13,20,15,28,11,6,10,42,6,23,22,16,6,15,11,15,7,18,23,27,25,12,17,15,16,43,10,9,15,23,17,17,43,24,12,13,16,15,19,26,12,23,28,17,25,21,14,18,32,12,10,38,6,12,18,11,0,24,18,7,7,12,11,10,10,8,7,14,7,5,6,5,12,7,15,18,12,16,15,15,19,8,8,9,20,14,30,6,40,11,18,0,15,7,9,21,10,8,7,9,12,6,10,13,13,10,7,9,31,14,7,15,18,23,23,6,36,17,10,36,38,19,17,27
