CID	178	323	702	938	1493	1775	1935	1983	1986	2153	2157	2160	2244	2265	2313	2333	2477	2519	2554	2717	2725	2726	2727	2756	2764	2796	2801	2907	3016	3033	3114	3117	3121	3158	3325	3339	3372	3397	3440	3463	3488	3559	3658	3672	3696	3715	3748	3767	3869	3950	4044	4091	4098	4178	4260	4386	4449	4485	4495	4594	4680	4723	4746	4754	4763	4781	4927	4946	5039	5339	5355	5452	5472	5483	5505	5556	5576	5656	5694	5743	5852	5897	5921	5943	5953	5959	5991	6010	6046	6167	6197	6237	6758	6932	7577	7851	7858	7961	8370	9415	10438	11080	11831	12699	14052	14130	25674	28417	31703	36462	38853	39186	44093	47576	54454	54897	62857	64710	66380	119565	156391	157921	164877	174697	186907	441140	443953	444254	445354	445621	1548887	1549008	2733526	5271566	5280965	5281055	5284373	5284533	5388962	5447130	6604200	6914273	16129778	44567139	46931065	54675776	54677470	54690031	70691408	135398735	135398737
178	1	0.09	0.37	0.09	0.09	0.16	0.07	0.17	0.31	0.14	0.09	0.1	0.08	0.07	0.07	0.06	0.11	0.13	0.13	0.14	0.06	0.07	0.16	0.11	0.1	0.09	0.07	0.28	0.12	0.12	0.12	0.25	0.25	0.1	0.13	0.07	0.07	0.16	0.08	0.09	0.11	0.09	0.09	0.11	0.08	0.07	0.14	0.13	0.13	0.25	0.12	0.22	0.06	0.13	0.11	0.12	0.08	0.12	0.1	0.06	0.06	0.15	0.19	0.16	0.18	0.14	0.07	0.11	0.11	0.07	0.12	0.07	0.06	0.38	0.16	0.05	0.33	0.1	0.1	0.1	0.35	0.17	0.32	0	0.06	0.12	0.07	0.12	0.26	0.12	0.25	0.07	0.06	0.07	0.12	0.42	0.24	0.07	0.02	0.13	0.28	0.07	0.08	0.36	0.31	0.14	0.35	0.08	0.09	0.06	0.14	0.09	0.23	0.07	0.12	0.08	0.12	0.17	0	0.3	0.08	0.34	0.08	0.11	0.07	0.06	0.13	0.14	0.15	0.21	0.09	0.09	0.1	0.24	0.15	0.09	0.21	0.11	0.15	0.12	0.11	0.09	0.05	0.09	0.15	0.11	0.1	0.1	0.07	0.07	0.08
323	0.09	1	0.07	0.39	0.44	0.4	0.32	0.47	0.09	0.09	0.59	0.43	0.81	0.06	0.47	0.58	0.17	0.1	0.39	0.38	0.29	0.27	0.33	0.07	0.38	0.68	0.33	0.09	0.34	0.41	0.31	0.06	0.24	0.7	0.1	0.66	0.32	0.37	0.45	0.77	0.49	0.48	0.38	0.57	0.36	0.43	0.31	0.32	0.5	0.11	0.47	0.03	0.21	0.71	0.72	0.49	0.43	0.45	0.5	0.35	0.43	0.54	0.14	0.56	0.42	0.36	0.29	0.62	0.46	0.38	0.53	0.28	0.34	0.12	0.4	0.26	0.14	0.64	0.31	0.31	0.15	0.38	0.06	0	0.4	0.4	0.54	0.33	0.11	0.54	0.2	0.63	0.58	0.7	0.4	0.04	0.15	0.4	0.29	0.3	0.28	0.39	0.38	0.06	0.1	0.52	0.13	0.37	0.5	0.52	0.56	0.49	0.15	0.4	0.38	0.25	0.64	0.16	0	0.13	0.68	0.17	0.36	0.54	0.67	0.54	0.2	0.26	0.32	0.15	0.48	0.39	0.68	0.31	0.33	0.44	0.22	0.32	0.43	0.45	0.41	0.46	0.57	0.25	0.24	0.46	0.37	0.27	0.34	0.38	0.29
702	0.37	0.07	1	0.07	0.08	0.07	0.03	0.09	0.13	0.06	0.07	0.07	0.09	0.04	0.06	0.07	0.05	0.07	0.06	0.07	0.04	0.04	0.08	0.05	0.06	0.1	0.05	0.2	0.06	0.07	0.06	0.17	0.28	0.09	0.06	0.07	0.09	0.07	0.06	0.11	0.05	0.07	0.11	0.12	0.05	0.05	0.06	0.06	0.09	0.11	0.08	0.11	0.04	0.1	0.08	0.07	0.06	0.07	0.06	0.04	0.05	0.08	0.08	0.09	0.08	0.08	0.05	0.1	0.06	0.04	0.06	0.04	0.04	0.21	0.08	0.03	0.18	0.1	0.06	0.14	0.24	0.07	0.24	0	0.07	0.09	0.09	0.13	0.26	0.06	0.18	0.07	0.06	0.11	0.05	0.18	0.56	0.08	0.03	0.12	0.25	0.05	0.05	0.17	0.32	0.1	0.22	0.07	0.07	0.08	0.09	0.06	0.16	0.05	0.17	0.04	0.09	0.13	0	0.19	0.09	0.2	0.05	0.1	0.07	0.06	0.14	0.14	0.28	0.2	0.1	0.06	0.09	0.27	0.12	0.06	0.15	0.12	0.1	0.05	0.04	0.04	0.07	0.06	0.11	0.06	0.06	0.05	0.09	0.05	0.04
938	0.09	0.39	0.07	1	0.41	0.39	0.52	0.5	0.1	0.3	0.37	0.34	0.43	0.23	0.51	0.34	0.44	0.31	0.45	0.4	0.58	0.38	0.29	0.23	0.56	0.33	0.41	0.14	0.46	0.51	0.65	0.09	0.19	0.35	0.2	0.36	0.42	0.43	0.49	0.38	0.38	0.5	0.39	0.42	0.45	0.55	0.7	0.73	0.46	0.13	0.63	0.07	0.52	0.34	0.36	0.65	0.4	0.46	0.35	0.48	0.57	0.42	0.15	0.44	0.4	0.46	0.4	0.35	0.43	0.61	0.41	0.38	0.36	0.17	0.34	0.41	0.15	0.41	0.5	0.21	0.19	0.43	0.1	0	0.54	0.46	0.32	0.22	0.14	0.36	0.22	0.36	0.31	0.35	0.39	0.06	0.13	0.27	0.2	0.3	0.18	0.4	0.37	0.08	0.15	0.46	0.17	0.48	0.35	0.3	0.43	0.43	0.25	0.45	0.26	0.52	0.36	0.21	0	0.16	0.37	0.2	0.47	0.41	0.32	0.29	0.2	0.27	0.23	0.17	0.35	0.37	0.35	0.18	0.28	0.58	0.27	0.22	0.43	0.47	0.44	0.45	0.34	0.47	0.28	0.4	0.48	0.54	0.43	0.41	0.43
1493	0.09	0.44	0.08	0.41	1	0.36	0.38	0.7	0.09	0.13	0.35	0.33	0.43	0.17	0.42	0.35	0.2	0.14	0.45	0.33	0.34	0.39	0.32	0.11	0.41	0.42	0.4	0.11	0.38	0.45	0.35	0.07	0.13	0.42	0.15	0.35	0.4	0.5	0.4	0.42	0.36	0.38	0.37	0.39	0.44	0.4	0.34	0.35	0.46	0.15	0.47	0.05	0.3	0.44	0.4	0.5	0.46	0.5	0.65	0.37	0.41	0.42	0.11	0.6	0.35	0.45	0.4	0.41	0.44	0.42	0.39	0.39	0.31	0.11	0.33	0.31	0.11	0.48	0.35	0.2	0.15	0.41	0.1	0	0.44	0.57	0.43	0.21	0.14	0.37	0.17	0.38	0.32	0.47	0.48	0.06	0.16	0.35	0.26	0.25	0.17	0.44	0.52	0.08	0.15	0.58	0.14	0.39	0.35	0.33	0.51	0.44	0.15	0.38	0.23	0.29	0.42	0.16	0	0.14	0.4	0.14	0.43	0.38	0.34	0.31	0.15	0.28	0.24	0.21	0.33	0.34	0.43	0.15	0.25	0.37	0.24	0.2	0.36	0.51	0.46	0.45	0.34	0.32	0.25	0.41	0.34	0.36	0.41	0.35	0.35
1775	0.16	0.4	0.07	0.39	0.36	1	0.48	0.48	0.22	0.28	0.42	0.54	0.41	0.18	0.39	0.39	0.36	0.28	0.64	0.53	0.43	0.38	0.46	0.19	0.47	0.34	0.49	0.15	0.55	0.56	0.54	0.11	0.21	0.44	0.2	0.4	0.45	0.57	0.4	0.39	0.49	0.5	0.55	0.55	0.54	0.41	0.45	0.45	0.53	0.28	0.55	0.11	0.37	0.42	0.4	0.56	0.4	0.53	0.37	0.35	0.36	0.59	0.28	0.46	0.79	0.63	0.43	0.42	0.44	0.38	0.52	0.4	0.47	0.22	0.55	0.44	0.23	0.46	0.45	0.31	0.2	0.63	0.11	0	0.34	0.47	0.39	0.34	0.14	0.41	0.34	0.42	0.38	0.39	0.6	0.08	0.13	0.38	0.27	0.31	0.23	0.52	0.53	0.14	0.2	0.44	0.18	0.4	0.37	0.35	0.51	0.46	0.27	0.38	0.33	0.47	0.45	0.32	0	0.18	0.45	0.21	0.54	0.45	0.39	0.35	0.23	0.26	0.31	0.16	0.48	0.56	0.42	0.17	0.32	0.43	0.4	0.33	0.62	0.37	0.44	0.52	0.33	0.44	0.34	0.47	0.44	0.39	0.44	0.36	0.46
1935	0.07	0.32	0.03	0.52	0.38	0.48	1	0.46	0.09	0.26	0.32	0.46	0.28	0.29	0.56	0.28	0.4	0.26	0.65	0.41	0.7	0.53	0.32	0.27	0.48	0.25	0.61	0.12	0.6	0.53	0.69	0.1	0.11	0.36	0.27	0.28	0.54	0.54	0.36	0.28	0.33	0.38	0.47	0.35	0.67	0.51	0.59	0.59	0.37	0.15	0.52	0.09	0.52	0.35	0.3	0.53	0.41	0.47	0.37	0.47	0.6	0.39	0.27	0.43	0.46	0.53	0.56	0.36	0.29	0.48	0.33	0.54	0.44	0.1	0.39	0.59	0.09	0.37	0.62	0.2	0.1	0.58	0.1	0	0.58	0.42	0.32	0.21	0.11	0.31	0.2	0.3	0.28	0.31	0.63	0.07	0.09	0.33	0.24	0.2	0.16	0.63	0.52	0.06	0.13	0.41	0.09	0.37	0.28	0.26	0.35	0.4	0.12	0.42	0.23	0.54	0.37	0.15	0	0.1	0.33	0.1	0.69	0.33	0.27	0.23	0.14	0.22	0.24	0.12	0.32	0.52	0.37	0.1	0.22	0.45	0.22	0.21	0.36	0.32	0.31	0.38	0.25	0.52	0.23	0.33	0.4	0.44	0.48	0.35	0.62
1983	0.17	0.47	0.09	0.5	0.7	0.48	0.46	1	0.16	0.22	0.4	0.38	0.48	0.17	0.48	0.39	0.27	0.22	0.6	0.44	0.41	0.46	0.42	0.18	0.5	0.47	0.48	0.15	0.51	0.6	0.47	0.11	0.18	0.47	0.19	0.39	0.45	0.61	0.49	0.48	0.47	0.45	0.41	0.44	0.52	0.5	0.47	0.45	0.57	0.22	0.64	0.08	0.37	0.5	0.45	0.66	0.54	0.51	0.57	0.45	0.48	0.49	0.19	0.85	0.46	0.6	0.5	0.49	0.47	0.5	0.51	0.46	0.36	0.23	0.43	0.37	0.18	0.54	0.45	0.23	0.19	0.62	0.11	0	0.5	0.6	0.46	0.25	0.13	0.48	0.29	0.42	0.35	0.51	0.53	0.09	0.16	0.36	0.26	0.3	0.22	0.46	0.46	0.11	0.23	0.82	0.2	0.38	0.39	0.36	0.57	0.54	0.24	0.45	0.27	0.37	0.51	0.24	0	0.19	0.45	0.2	0.51	0.42	0.37	0.33	0.18	0.34	0.28	0.23	0.37	0.41	0.46	0.19	0.3	0.48	0.34	0.25	0.47	0.48	0.47	0.47	0.36	0.41	0.32	0.48	0.43	0.48	0.48	0.41	0.45
1986	0.31	0.09	0.13	0.1	0.09	0.22	0.09	0.16	1	0.27	0.11	0.09	0.08	0.2	0.12	0.08	0.19	0.25	0.15	0.2	0.08	0.09	0.26	0.27	0.11	0.09	0.08	0.2	0.12	0.12	0.13	0.24	0.15	0.09	0.35	0.07	0.1	0.16	0.14	0.08	0.17	0.1	0.1	0.1	0.08	0.1	0.15	0.15	0.13	0.28	0.12	0.25	0.16	0.11	0.11	0.12	0.16	0.13	0.15	0.17	0.08	0.18	0.14	0.15	0.21	0.17	0.1	0.11	0.19	0.16	0.19	0.1	0.12	0.29	0.26	0.16	0.26	0.1	0.19	0.09	0.24	0.16	0.2	0	0.08	0.13	0.07	0.11	0.2	0.12	0.2	0.09	0.08	0.07	0.1	0.16	0.1	0.06	0.03	0.14	0.15	0.11	0.08	0.3	0.24	0.14	0.26	0.11	0.09	0.07	0.12	0.11	0.24	0.14	0.1	0.15	0.12	0.22	0	0.29	0.08	0.2	0.09	0.11	0.08	0.08	0.12	0.13	0.1	0.15	0.13	0.08	0.09	0.15	0.12	0.18	0.2	0.1	0.18	0.18	0.21	0.18	0.06	0.15	0.2	0.11	0.27	0.23	0.1	0.11	0.13
