	CHEMBL16081	CHEMBL6466	CHEMBL545	CHEMBL573	CHEMBL273386	CHEMBL16	CHEMBL95	CHEMBL112	CHEMBL20	CHEMBL190	CHEMBL633	CHEMBL629	CHEMBL25	CHEMBL1542	CHEMBL1089221	CHEMBL388590	CHEMBL49	CHEMBL113	CHEMBL108	CHEMBL1200714	CHEMBL505	CHEMBL71	CHEMBL498	CHEMBL30	CHEMBL8	CHEMBL565	CHEMBL415	CHEMBL88	CHEMBL12	CHEMBL139	CHEMBL517	CHEMBL964	CHEMBL109	CHEMBL1628227	CHEMBL902	CHEMBL672	CHEMBL726	CHEMBL806	CHEMBL35	CHEMBL457	CHEMBL472	CHEMBL54	CHEMBL896	CHEMBL521	CHEMBL11	CHEMBL6	CHEMBL92401	CHEMBL64	CHEMBL429	CHEMBL514	CHEMBL686	CHEMBL1431	CHEMBL1411979	4CHEMBL16081	CHEMBL159226	CHEMBL23832	CHEMBL623	CHEMBL193	CHEMBL56367	CHEMBL1503	CHEMBL19224	CHEMBL1177	CHEMBL75880	CHEMBL16073	CHEMBL40	CHEMBL101	CHEMBL643	CHEMBL27	CHEMBL1790041	CHEMBL421	CHEMBL26	CHEMBL479	CHEMBL833	CHEMBL1314	CHEMBL782	CHEMBL646	CHEMBL695	CHEMBL637	CHEMBL295416	CHEMBL384467	CHEMBL1430	CHEMBLCHEMBL51769	CHEMBL164290	CHEMBL44814	CHEMBLCHEMBL6338	CHEMBL130	CHEMBL691	CHEMBL1395	CHEMBL165908	CHEMBL107	CHEMBL123292	CHEMBL232201	CHEMBL429023	CHEMBL502074	CHEMBL85728	CHEMBL1697693	CHEMBL234926	CHEMBL16068	CHEMBL228514	CHEMBL521035	CHEMBL2766015	CHEMBL1381098	CHEMBL351487	CHEMBL288958	CHEMBL44884	CHEMBL1697856	CHEMBL203187	CHEMBL1479	CHEMBL5CHEMBL457	CHEMBL44657	CHEMBL459	CHEMBL23	CHEMBL1560	CHEMBL295698	CHEMBL1064	CHEMBL54349	CHEMBL1201082	CHEMBL1201097	CHEMBL1201096	CHEMBL1609891	CHEMBL154	CHEMBL1201093	CHEMBL1201088	CHEMBL1201089	CHEMBL1697694	CHEMBL562	CHEMBL1200688	CHEMBL1566	CHEMBL986	CHEMBL606759	CHEMBL15770	CHEMBL822	CHEMBL83	CHEMBL2037000	CHEMBL267345	CHEMBL843	CHEMBL160	CHEMBL1697830	CHEMBL578	CHEMBL869	CHEMBL572	CHEMBL1201288	CHEMBL506247	CHEMBL502682	CHEMBL505513	CHEMBL1440	CHEMBL599	CHEMBL1CHEMBL29541687	CHEMBL2105617	CHEMBL374478	CHEMBL42
CHEMBL16081	0	0.91	0.63	0.91	0.91	0.84	0.93	0.83	0.69	0.86	0.91	0.9	0.92	0.93	0.93	0.94	0.89	0.87	0.87	0.86	0.94	0.93	0.84	0.89	0.9	0.91	0.93	0.72	0.88	0.88	0.88	0.75	0.75	0.9	0.87	0.93	0.93	0.84	0.92	0.91	0.89	0.91	0.91	0.89	0.92	0.93	0.86	0.87	0.87	0.75	0.88	0.78	0.94	0.87	0.89	0.88	0.92	0.88	0.9	0.94	0.94	0.85	0.81	0.84	0.82	0.86	0.93	0.89	0.89	0.93	0.88	0.93	0.94	0.62	0.84	0.95	0.67	0.9	0.9	0.9	0.65	0.83	0.68	1	0.94	0.88	0.93	0.88	0.74	0.88	0.75	0.93	0.94	0.93	0.88	0.58	0.76	0.93	0.98	0.87	0.72	0.93	0.92	0.64	0.69	0.86	0.65	0.92	0.91	0.94	0.86	0.91	0.77	0.93	0.88	0.92	0.88	0.83	1	0.7	0.92	0.66	0.92	0.89	0.93	0.94	0.87	0.86	0.85	0.79	0.91	0.91	0.9	0.76	0.85	0.91	0.79	0.89	0.85	0.88	0.89	0.91	0.95	0.91	0.85	0.89	0.9	0.9	0.93	0.93	0.92
CHEMBL6466	0.91	0	0.93	0.61	0.56	0.6	0.68	0.53	0.91	0.91	0.41	0.57	0.19	0.94	0.53	0.42	0.83	0.9	0.61	0.62	0.71	0.73	0.67	0.93	0.62	0.32	0.67	0.91	0.66	0.59	0.69	0.94	0.76	0.3	0.9	0.34	0.68	0.63	0.55	0.23	0.51	0.52	0.62	0.43	0.64	0.57	0.69	0.68	0.5	0.89	0.53	0.97	0.79	0.29	0.28	0.51	0.57	0.55	0.5	0.65	0.57	0.46	0.86	0.44	0.58	0.64	0.71	0.38	0.54	0.62	0.47	0.72	0.66	0.88	0.6	0.74	0.86	0.36	0.69	0.69	0.85	0.62	0.94	1	0.6	0.6	0.46	0.67	0.89	0.46	0.8	0.37	0.42	0.3	0.6	0.96	0.85	0.6	0.71	0.7	0.72	0.61	0.62	0.94	0.9	0.48	0.87	0.63	0.5	0.48	0.44	0.51	0.85	0.6	0.62	0.75	0.36	0.84	1	0.87	0.32	0.83	0.64	0.46	0.33	0.46	0.8	0.74	0.68	0.85	0.52	0.61	0.32	0.69	0.67	0.56	0.78	0.68	0.57	0.55	0.59	0.54	0.43	0.75	0.76	0.54	0.63	0.73	0.66	0.62	0.71
CHEMBL545	0.63	0.93	0	0.93	0.92	0.93	0.97	0.91	0.87	0.94	0.93	0.93	0.91	0.96	0.94	0.93	0.95	0.93	0.94	0.93	0.96	0.96	0.92	0.95	0.94	0.9	0.95	0.8	0.94	0.93	0.94	0.83	0.72	0.91	0.94	0.93	0.91	0.93	0.94	0.89	0.95	0.93	0.89	0.88	0.95	0.95	0.94	0.94	0.91	0.89	0.92	0.89	0.96	0.9	0.92	0.93	0.94	0.93	0.94	0.96	0.95	0.92	0.92	0.91	0.92	0.92	0.95	0.9	0.94	0.96	0.94	0.96	0.96	0.79	0.92	0.97	0.82	0.9	0.94	0.86	0.76	0.93	0.76	1	0.93	0.91	0.91	0.87	0.74	0.94	0.82	0.93	0.94	0.89	0.95	0.82	0.44	0.92	0.97	0.88	0.75	0.95	0.95	0.83	0.68	0.9	0.78	0.93	0.93	0.92	0.91	0.94	0.84	0.95	0.83	0.96	0.91	0.87	1	0.81	0.91	0.8	0.95	0.9	0.93	0.94	0.86	0.86	0.72	0.8	0.9	0.94	0.91	0.73	0.88	0.94	0.85	0.88	0.9	0.95	0.96	0.96	0.93	0.94	0.89	0.94	0.94	0.95	0.91	0.95	0.96
CHEMBL573	0.91	0.61	0.93	0	0.59	0.61	0.48	0.5	0.9	0.7	0.63	0.66	0.57	0.77	0.49	0.66	0.56	0.69	0.55	0.6	0.42	0.62	0.71	0.77	0.44	0.67	0.59	0.86	0.54	0.49	0.35	0.91	0.81	0.65	0.8	0.64	0.58	0.57	0.51	0.62	0.62	0.5	0.61	0.58	0.55	0.45	0.3	0.27	0.54	0.87	0.37	0.93	0.48	0.66	0.64	0.35	0.6	0.54	0.65	0.52	0.43	0.58	0.85	0.56	0.6	0.54	0.6	0.65	0.57	0.39	0.59	0.62	0.64	0.83	0.66	0.59	0.85	0.59	0.5	0.79	0.81	0.57	0.9	1	0.46	0.54	0.68	0.78	0.86	0.64	0.78	0.64	0.69	0.65	0.61	0.94	0.87	0.73	0.8	0.7	0.82	0.6	0.63	0.92	0.85	0.54	0.83	0.52	0.65	0.7	0.57	0.57	0.75	0.55	0.74	0.48	0.64	0.79	1	0.84	0.63	0.8	0.53	0.59	0.68	0.71	0.8	0.73	0.77	0.83	0.65	0.63	0.65	0.82	0.72	0.42	0.73	0.78	0.57	0.53	0.56	0.55	0.66	0.53	0.72	0.6	0.52	0.46	0.57	0.59	0.57
CHEMBL273386	0.91	0.56	0.92	0.59	0	0.64	0.62	0.3	0.91	0.87	0.65	0.67	0.57	0.83	0.58	0.65	0.8	0.86	0.55	0.67	0.66	0.61	0.68	0.89	0.59	0.58	0.6	0.89	0.62	0.55	0.65	0.93	0.87	0.58	0.85	0.65	0.6	0.5	0.6	0.58	0.64	0.62	0.63	0.61	0.56	0.6	0.66	0.65	0.54	0.85	0.53	0.95	0.7	0.56	0.6	0.5	0.54	0.5	0.35	0.63	0.59	0.58	0.89	0.4	0.65	0.55	0.6	0.59	0.56	0.58	0.61	0.61	0.69	0.89	0.67	0.69	0.89	0.52	0.65	0.8	0.85	0.59	0.9	1	0.56	0.43	0.57	0.79	0.86	0.63	0.83	0.62	0.68	0.53	0.52	0.94	0.84	0.65	0.74	0.75	0.83	0.56	0.48	0.92	0.85	0.42	0.86	0.61	0.65	0.67	0.49	0.56	0.85	0.62	0.77	0.71	0.58	0.84	1	0.86	0.6	0.86	0.57	0.62	0.66	0.69	0.85	0.72	0.76	0.79	0.67	0.66	0.57	0.85	0.75	0.63	0.76	0.8	0.64	0.49	0.54	0.55	0.66	0.68	0.75	0.59	0.66	0.64	0.59	0.65	0.65
CHEMBL16	0.84	0.6	0.93	0.61	0.64	0	0.52	0.52	0.78	0.72	0.58	0.46	0.59	0.82	0.61	0.61	0.64	0.72	0.36	0.47	0.57	0.62	0.54	0.81	0.53	0.66	0.51	0.85	0.45	0.44	0.46	0.89	0.79	0.56	0.8	0.6	0.55	0.43	0.6	0.61	0.51	0.5	0.45	0.45	0.46	0.59	0.55	0.55	0.47	0.72	0.45	0.89	0.63	0.58	0.6	0.44	0.6	0.47	0.63	0.65	0.64	0.41	0.72	0.54	0.21	0.37	0.57	0.58	0.56	0.62	0.48	0.6	0.53	0.78	0.45	0.56	0.77	0.54	0.55	0.69	0.8	0.37	0.89	1	0.66	0.53	0.61	0.66	0.86	0.59	0.66	0.58	0.62	0.61	0.4	0.92	0.87	0.62	0.73	0.69	0.77	0.48	0.47	0.86	0.8	0.56	0.82	0.6	0.63	0.65	0.49	0.54	0.73	0.62	0.67	0.53	0.55	0.68	1	0.82	0.55	0.79	0.46	0.55	0.61	0.65	0.77	0.74	0.69	0.84	0.52	0.44	0.58	0.83	0.68	0.57	0.6	0.67	0.38	0.63	0.56	0.48	0.67	0.56	0.66	0.53	0.56	0.61	0.56	0.64	0.54
CHEMBL95	0.93	0.68	0.97	0.48	0.62	0.52	0	0.54	0.91	0.74	0.68	0.54	0.72	0.71	0.44	0.72	0.6	0.74	0.35	0.59	0.3	0.47	0.68	0.73	0.52	0.75	0.39	0.88	0.4	0.47	0.31	0.9	0.89	0.64	0.73	0.72	0.46	0.46	0.64	0.72	0.67	0.62	0.53	0.65	0.33	0.49	0.41	0.41	0.63	0.85	0.48	0.91	0.48	0.65	0.7	0.47	0.59	0.53	0.63	0.53	0.4	0.61	0.73	0.57	0.54	0.47	0.44	0.64	0.71	0.52	0.67	0.46	0.56	0.9	0.61	0.41	0.91	0.63	0.38	0.8	0.9	0.42	0.9	1	0.42	0.58	0.68	0.79	0.89	0.69	0.8	0.7	0.72	0.69	0.37	0.93	0.91	0.67	0.76	0.8	0.84	0.37	0.48	0.94	0.87	0.59	0.91	0.63	0.72	0.74	0.65	0.6	0.88	0.58	0.77	0.46	0.63	0.85	1	0.9	0.67	0.9	0.31	0.67	0.73	0.77	0.86	0.78	0.76	0.88	0.68	0.48	0.63	0.9	0.78	0.55	0.78	0.79	0.64	0.68	0.69	0.62	0.75	0.48	0.77	0.67	0.6	0.56	0.52	0.65	0.38
CHEMBL112	0.83	0.53	0.91	0.5	0.3	0.52	0.54	0	0.84	0.78	0.6	0.62	0.52	0.83	0.52	0.61	0.73	0.78	0.4	0.56	0.59	0.54	0.58	0.82	0.5	0.53	0.52	0.85	0.49	0.4	0.53	0.89	0.82	0.53	0.81	0.61	0.55	0.39	0.51	0.52	0.53	0.55	0.59	0.56	0.48	0.5	0.53	0.55	0.43	0.78	0.36	0.92	0.63	0.5	0.55	0.34	0.46	0.49	0.43	0.55	0.52	0.51	0.81	0.15	0.54	0.4	0.5	0.51	0.53	0.5	0.49	0.54	0.64	0.77	0.57	0.63	0.82	0.46	0.55	0.77	0.81	0.38	0.89	1	0.5	0.4	0.54	0.75	0.87	0.52	0.71	0.58	0.65	0.49	0.47	0.91	0.84	0.64	0.74	0.7	0.78	0.54	0.54	0.89	0.77	0.18	0.8	0.62	0.61	0.64	0.43	0.46	0.76	0.55	0.73	0.63	0.49	0.76	1	0.81	0.55	0.8	0.49	0.58	0.63	0.67	0.82	0.66	0.72	0.77	0.63	0.59	0.54	0.81	0.7	0.52	0.66	0.75	0.53	0.52	0.53	0.53	0.64	0.59	0.68	0.52	0.57	0.52	0.52	0.59	0.55
CHEMBL20	0.69	0.91	0.87	0.9	0.91	0.78	0.91	0.84	0	0.73	0.89	0.91	0.92	0.8	0.88	0.92	0.81	0.75	0.85	0.8	0.92	0.91	0.74	0.73	0.89	0.91	0.92	0.8	0.88	0.88	0.87	0.76	0.85	0.91	0.65	0.93	0.9	0.84	0.86	0.92	0.83	0.9	0.9	0.9	0.92	0.9	0.85	0.85	0.87	0.72	0.88	0.75	0.84	0.89	0.89	0.88	0.84	0.87	0.85	0.83	0.92	0.82	0.86	0.85	0.79	0.83	0.9	0.89	0.81	0.84	0.81	0.9	0.88	0.71	0.74	0.84	0.74	0.9	0.81	0.91	0.76	0.84	0.8	1	0.92	0.87	0.93	0.89	0.8	0.88	0.8	0.91	0.92	0.93	0.9	0.84	0.9	0.94	0.97	0.86	0.85	0.89	0.92	0.7	0.76	0.86	0.74	0.89	0.91	0.93	0.88	0.89	0.76	0.86	0.9	0.85	0.88	0.78	1	0.71	0.92	0.8	0.91	0.89	0.92	0.92	0.88	0.87	0.9	0.85	0.87	0.92	0.91	0.85	0.88	0.82	0.8	0.9	0.82	0.82	0.79	0.82	0.94	0.85	0.8	0.89	0.73	0.77	0.9	0.89	0.87
CHEMBL190	0.86	0.91	0.94	0.7	0.87	0.72	0.74	0.78	0.73	0	0.86	0.88	0.9	0.42	0.76	0.89	0.5	0.09	0.76	0.81	0.72	0.82	0.8	0.4	0.75	0.9	0.83	0.82	0.74	0.82	0.65	0.88	0.89	0.88	0.65	0.91	0.81	0.77	0.8	0.91	0.82	0.85	0.83	0.89	0.81	0.75	0.65	0.67	0.83	0.77	0.79	0.79	0.63	0.88	0.88	0.78	0.73	0.83	0.87	0.62	0.76	0.82	0.85	0.79	0.75	0.74	0.8	0.87	0.77	0.71	0.79	0.82	0.84	0.76	0.8	0.69	0.76	0.88	0.65	0.89	0.82	0.77	0.88	1	0.77	0.81	0.91	0.88	0.85	0.84	0.82	0.88	0.89	0.92	0.86	0.91	0.92	0.93	0.95	0.84	0.88	0.87	0.86	0.84	0.79	0.79	0.83	0.79	0.89	0.9	0.87	0.81	0.77	0.66	0.9	0.54	0.87	0.77	1	0.83	0.91	0.83	0.79	0.87	0.9	0.9	0.86	0.85	0.91	0.87	0.89	0.87	0.89	0.88	0.87	0.66	0.76	0.89	0.76	0.8	0.74	0.74	0.92	0.68	0.74	0.84	0.63	0.61	0.79	0.79	0.73
